Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,General,Standard MCQ,"Identify the part of the sentence that contains a grammatical error:
""One of my closest friends (A) / are planning to visit (B) / the United States next month (C) / No error (D)""
Answer: (B)
Q45. Identify the part of the sentence that contains a grammatical error:
""He has been working (A) / as a senior clerk in this office (B) / since five years (C) / No error (D)""
Answer: (C)
Q46. Identify the part of the sentence that contains a grammatical error:
""Unless you do not (A) / study consistently, (B) / you will not pass the competitive examination (C) / No error (D)""
Answer: (A)
Q47. Identify the part of the sentence that contains a grammatical error:
""He stated that he (A) / preferred reading books (B) / than watching movies (C) / No error (D)""
Answer: (C)
Q48. Identify the part of the sentence that contains a grammatical error:
""The breathtaking scenery of (A) / the Himalayan valleys (B) / are extremely soothing (C) / No error (D)""
Answer: (C)
Q49. Identify the part of the sentence that contains a grammatical error:
""Supposing if (A) / it rains heavily, (B) / the outdoor sports event will be canceled (C) / No error (D)""
Answer: (A)
Q50. Identify the part of the sentence that contains a grammatical error:
""Each of the (A) / selected candidates have (B) / submitted their credentials (C) / No error (D)""
Answer: (B)
PART-B: COMPUTER KNOWLEDGE
(25 Questions)
Q51. What is the full form of RAM in computer terminology?",Read Access Memory,Random Access Memory,Rapid Active Memory,Readable Allocation Memory,Random Access Memory,data1
GK,Computer,Standard MCQ,"Which component of a computer is commonly referred to as its ""brain""?",RAM,Hard Disk,Central Processing Unit (CPU),Keyboard,Central Processing Unit (CPU),data1
GK,Computer,Standard MCQ,Which keyboard shortcut is used to print a document in MS Word?,Ctrl + S,Ctrl + P,Ctrl + O,Ctrl + N,Ctrl + P,data1
GK,Computer,Standard MCQ,Which of the following is strictly an input device?,Monitor,Printer,Scanner,Speaker,Scanner,data1
GK,Computer,Standard MCQ,"Which of the following is non-volatile, permanent memory?",RAM,ROM,Cache Memory,Registers,ROM,data1
GK,Computer,Standard MCQ,Which communication protocol is used to browse websites securely?,HTTP,FTP,HTTPS,SMTP,HTTPS,data1
GK,Computer,Standard MCQ,"In MS Windows, what is the default keyboard shortcut to ""Undo"" the last action?",Ctrl + Y,Ctrl + U,Ctrl + Z,Ctrl + X,Ctrl + Z,data1
GK,Computer,Standard MCQ,What is the standard file extension of an MS Excel spreadsheet file?,.docx,.xlsx,.pptx,.txt,.xlsx,data1
GK,Computer,Standard MCQ,"In networking terms, what does IP stand for?",Internet Protocol,Intranet Pathway,Internal Port,Immediate Process,Internet Protocol,data1
GK,Computer,Standard MCQ,Which function key is used to refresh the active web browser window?,F1,F2,F5,F11,F5,data1
GK,Computer,Standard MCQ,"A software program specifically designed to detect, prevent, and remove malware is called:",Firewall,Antivirus,Spyware,Operating System,Antivirus,data1
GK,Computer,Standard MCQ,One Gigabyte (1 GB) is equivalent to how many Megabytes (MB)?,1000 MB,1024 MB,512 MB,2048 MB,1024 MB,data1
GK,Computer,Standard MCQ,The primary opening page of a website is formally called the:,Webpage,Homepage,Masterpage,Portal,Homepage,data1
GK,Computer,Standard MCQ,"Unsolicited, bulk commercial emails sent to multiple recipients are known as:",Phishing,Spam,Malware,Drafts,Spam,data1
GK,Computer,Standard MCQ,Which programming language is understood directly by the computer's CPU without translation?,assembly Language,Machine Language,High-Level Language,SQL,Machine Language,data1
GK,Computer,Standard MCQ,"Who is universally recognized as the ""Father of Computers""?",Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage,data1
GK,Computer,Standard MCQ,What does the database acronym SQL stand for?,System Query Language,Structured Query Language,Standard Queue Logic,Sequential Query List,Structured Query Language,data1
GK,Computer,Standard MCQ,The primary purpose of a computer's operating system is to:,Protect the computer from dust,Manage system resources and hardware,Perform mathematical calculations,Create backup spreadsheets,Manage system resources and hardware,data1
GK,Computer,Standard MCQ,Which network topology connects all device nodes directly to a central hub?,Ring Topology,Star Topology,Bus Topology,Mesh Topology,Star Topology,data1
GK,Computer,Standard MCQ,What is the keyboard shortcut to copy selected text in Windows?,Ctrl + X,Ctrl + V,Ctrl + C,Ctrl + A,Ctrl + C,data1
GK,Computer,Standard MCQ,What standard code is used by computers to represent English text characters as numbers?,Binary,ASCII,Unicode,Hexadecimal,ASCII,data1
GK,Computer,Standard MCQ,The first generation of electronic digital computers relied on which technology?,Transistors,Vacuum Tubes,Integrated Circuits,Microprocessors,Vacuum Tubes,data1
GK,Computer,Standard MCQ,Which of the following is primarily a search engine?,Google Chrome,Google,Mozilla Firefox,MS Excel,Google,data1
GK,Computer,Standard MCQ,Which of the following is an example of secondary storage media?,RAM,Cache Memory,Hard Disk Drive (HDD),Registers,Hard Disk Drive (HDD),data1
GK,Computer,Standard MCQ,"In MS Word, what is the keyboard shortcut to insert a hyperlink?",Ctrl + H,Ctrl + L,Ctrl + K,Ctrl + I,Ctrl + K,data1
GK,Reasoning,Standard MCQ,"Find the next number in the series: $2, 6, 12, 20, 30, ?$",36,40,42,48,42,data1
GK,Reasoning,Standard MCQ,"Complete the letter series: $A, C, F, J, O, ?$",T,U,V,S,U,data1
GK,Reasoning,Standard MCQ,Spot the odd item out from the following options:,Copper,Silver,Gold,Brass,Brass,data1
GK,Reasoning,Standard MCQ,"If in a certain code, ""COLD"" is written as ""DPME"", how will the word ""WARM"" be coded?",XBSN,VZQL,XBSM,YCTO,XBSN,data1
GK,Reasoning,Standard MCQ,"Pointing to a man in a photograph, a woman said, ""His mother is the only daughter of my father."" How is the woman related to the man?",Sister,Mother,Aunt,Grandmother,Mother,data1
GK,Reasoning,Standard MCQ,"A man walks 10 meters East, turns right and walks 5 meters. He then turns right again and walks 10 meters. How far is he from his starting point?",15 meters,5 meters,10 meters,20 meters,5 meters,data1
GK,Reasoning,Standard MCQ,What is the angle between the hour hand and the minute hand of a clock at 3:30?,$70^{\circ}$,$75^{\circ}$,$85^{\circ}$,$90^{\circ}$,$75^{\circ}$,data1
GK,Reasoning,Standard MCQ,"If today is Monday, what day of the week will it be exactly after 61 days?",Friday,Saturday,Sunday,Monday,Saturday,data1
GK,Reasoning,Standard MCQ,"""Doctor"" is to ""Patient"" as ""Lawyer"" is to:",Court,Client,Case,Judge,Client,data1
GK,Reasoning,Standard MCQ,"Read the statements and choose the correct conclusion:
Statements:
I. All cups are plates.
II. Some plates are bowls.
Conclusions:
Some cups are bowls.
Some bowls are plates.",Only conclusion 1 follows,Only conclusion 2 follows,Both conclusions follow,Neither conclusion follows,Only conclusion 2 follows,data1
GK,Reasoning,Standard MCQ,"If in a certain code language ""RED"" is coded as 27, then what will be the code for ""BLUE""?",38,40,42,36,40,data1
GK,Reasoning,Standard MCQ,"Arrange the following words in a logical sequence from smallest to largest:
City  2. District  3. State  4. Country  5. Continent","1, 2, 3, 4, 5","2, 1, 3, 4, 5","1, 3, 2, 4, 5","5, 4, 3, 2, 1","1, 2, 3, 4, 5",data1
GK,Reasoning,Standard MCQ,"Complete the letter series: $CAT, DBU, ECV, ?$",FDW,FDX,FCW,EDW,FDW,data1
GK,Reasoning,Standard MCQ,"In a row of 30 boys, Ram's position is 12th from the left end. What is his position from the right end?",18th,19th,20th,17th,19th,data1
GK,Reasoning,Standard MCQ,"Select the correct water image of the word: ""REASON""",ᴚƎ∀SOИ,BƎ∀ƧOИ,REASON,ᴚE∀SON,BƎ∀ƧOИ,data1
GK,Reasoning,Standard MCQ,A person is facing North. He turns $90^{\circ}$ in the clockwise direction and then $180^{\circ}$ in the counter-clockwise direction. Which direction is he facing now?,East,West,South,North,West,data1
GK,Reasoning,Standard MCQ,"If in a certain code ""blue sky"" is written as ""la pa"" and ""clear sky"" is written as ""pa sa"", what is the code for the word ""sky""?",la,pa,sa,cannot be determined,pa,data1
GK,Reasoning,Standard MCQ,"Choose the Venn diagram that best illustrates the relationship among: ""Mammals"", ""Dogs"", ""Cats""",Three intersecting circles,One large circle containing two separate smaller circles,Three completely separate circles,"One circle containing another, which contains a third",One large circle containing two separate smaller circles,data1
GK,Reasoning,Standard MCQ,"Find the odd one out of the given series: $27, 64, 125, 144$",27,64,125,144,144,data1
GK,Reasoning,Standard MCQ,"Find the next term in the series: $DAZ, FDX, HGV, ?$",JKT,JJT,KJT,JJS,JJT,data1
GK,Aptitude,Standard MCQ,"If $A:B = 2:3$ and $B:C = 4:5$, find the compound ratio $A:B:C$.",8:12:15,6:9:10,8:10:15,6:12:15,8:12:15,data1
GK,Aptitude,Standard MCQ,"A can complete a certain piece of work in 10 days, and B can do the same work in 15 days. If they work together, how many days will they take to complete the work?",5 days,6 days,8 days,12 days,6 days,data1
GK,Aptitude,Standard MCQ,A train 200 meters long is running at a constant speed of $72\text{ km/hr}$. How long will the train take to completely pass a signal post?,8 seconds,10 seconds,12 seconds,15 seconds,10 seconds,data1
GK,Aptitude,Standard MCQ,"The sum of the ages of a father and his son is 50 years. Five years ago, the father's age was 4 times the age of his son. What are their present ages?","40 years, 10 years","37 years, 13 years","35 years, 15 years","38 years, 12 years","37 years, 13 years",data1
GK,Aptitude,Standard MCQ,"If the selling price of 15 articles is exactly equal to the cost price of 12 articles, find the loss percentage.",$15\%$,$20\%$,$25\%$,$16.67\%$,$20\%$,data1
GK,Aptitude,Standard MCQ,Find the simple interest earned on a sum of $\text{Rs. } 5000$ at an interest rate of $10\%$ per annum for a period of 3 years.,$\text{Rs. } 1200$,$\text{Rs. } 1500$,$\text{Rs. } 1800$,$\text{Rs. } 2000$,$\text{Rs. } 1500$,data1
GK,Aptitude,Standard MCQ,"Find the smallest positive number which when divided by 8, 12, or 16 leaves a remainder of 3 in each case.",45,51,99,147,51,data1
GK,Aptitude,Standard MCQ,Calculate the average of the first five prime numbers.,5.0,5.6,6.2,4.8,5.6,data1
GK,Aptitude,Standard MCQ,What is the calculated value of $(105)^2$?,10025,11025,11125,10525,11025,data1
GK,Aptitude,Standard MCQ,Find the unit digit in the product of the expansion: $3^{41} \times 7^{22}$,1,7,3,9,7,data1
GK,Aptitude,Standard MCQ,"If the income of X is $20\%$ more than the income of Y, by what percentage is Y's income less than X's income?",$20\%$,$16.67\%$,$25\%$,$15\%$,$16.67\%$,data1
GK,Aptitude,Standard MCQ,"A card is drawn at random from a standard, well-shuffled pack of 52 playing cards. What is the probability that the drawn card is a King?",$\frac{1}{26}$,$\frac{1}{13}$,$\frac{1}{4}$,$\frac{4}{13}$,$\frac{1}{13}$,data1
GK,Aptitude,Standard MCQ,"Partners A and B start a business by investing capital in the ratio of $3:5$. If the total profit earned at the end of the year is $\text{Rs. } 8000$, find B's share of the profit.",$\text{Rs. } 3000$,$\text{Rs. } 5000$,$\text{Rs. } 4500$,$\text{Rs. } 4000$,$\text{Rs. } 5000$,data1
GK,Aptitude,Standard MCQ,"Find the Highest Common Factor (HCF) of the numbers 24, 36, and 60.",6,12,18,24,12,data1
GK,Aptitude,Standard MCQ,"If a man walks at $12\text{ km/hr}$ instead of $10\text{ km/hr}$, he would have covered $10\text{ km}$ more in the same time. What is the actual distance covered by him at $10\text{ km/hr}$?",$40\text{ km}$,$50\text{ km}$,$60\text{ km}$,$45\text{ km}$,$50\text{ km}$,data1
