Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,General,Standard MCQ,"Who is known as the ""Iron Man of India""?",Bal Gangadhar Tilak,Sardar Vallabhbhai Patel,Jawaharlal Nehru,Mahatma Gandhi,Sardar Vallabhbhai Patel,NewDataTxt
GK,History,Standard MCQ,The Quit India Movement started in:,1920,1930,1942,1947,1942,NewDataTxt
GK,General,Standard MCQ,"Who wrote the book ""Discovery of India""?",Mahatma Gandhi,Jawaharlal Nehru,Rabindranath Tagore,Sardar Patel,Jawaharlal Nehru,NewDataTxt
GK,History,Standard MCQ,The Sepoy Mutiny (First war of Independence) took place in:,1857,1757,1942,1885,1857,NewDataTxt
GK,History,Standard MCQ,Jallianwala Bagh massacre took place in:,Lahore,Amritsar,Jalandhar,Delhi,Amritsar,NewDataTxt
GK,Geography,Standard MCQ,Which is the largest river in India?,Godavari,Yamuna,Ganga,Brahmaputra,Ganga,NewDataTxt
GK,Geography,Standard MCQ,Which planet is known as the red planet?,Venus,Mars,Jupiter,Saturn,Mars,NewDataTxt
GK,Geography,Standard MCQ,The highest peak in India is:,K2 (Godwin-Austen),Kanchenjunga,Nanda Devi,Mount Everest,Kanchenjunga,NewDataTxt
GK,Geography,Standard MCQ,Which state has the longest coastline in India?,Andhra Pradesh,Tamil Nadu,Maharashtra,Gujarat,Gujarat,NewDataTxt
GK,General,Standard MCQ,The imaginary line that divides India into two almost equal parts is:,Equator,Tropic of Capricorn,Tropic of Cancer,Prime Meridian,Tropic of Cancer,NewDataTxt
GK,Geography,Standard MCQ,Which soil is best for cotton cultivation?,Alluvial soil,Red soil,Black soil,Laterite soil,Black soil,NewDataTxt
GK,Geography,Standard MCQ,The largest freshwater lake in India is:,Chilika lake,Wular lake,Vembanad lake,Dal lake,Wular lake,NewDataTxt
GK,Geography,Standard MCQ,Which is the smallest state in India by area?,Sikkim,Goa,Tripura,Mizoram,Goa,NewDataTxt
GK,General,Standard MCQ,Gir National Park is famous for:,Bengal Tigers,Asiatic Lions,One-horned Rhinoceros,Snow Leopards,Asiatic Lions,NewDataTxt
GK,Geography,Standard MCQ,"Which river is known as the ""Sorrow of Bihar""?",Damodar,Kosi,Gandak,Son,Kosi,NewDataTxt
GK,History,Standard MCQ,The Reserve Bank of India was established in:,1935,1947,1950,1969,1935,NewDataTxt
GK,General,Standard MCQ,Who is known as the Father of Indian Economics?,M. G. Ranade,Dadabhai Naoroji,Amartya Sen,Manmohan Singh,Dadabhai Naoroji,NewDataTxt
GK,General,Standard MCQ,GST stands for:,Government Sales Tax,Goods and Service Tax,General Service Tax,Growth and Standard Tariff,Goods and Service Tax,NewDataTxt
GK,General,Standard MCQ,NITI Aayog replaced which body?,National Development Council,Finance Commission,Planning Commission,Tariff Commission,Planning Commission,NewDataTxt
GK,General,Standard MCQ,The currency of Japan is:,Yuan,Yen,Won,Ringgit,Yen,NewDataTxt
GK,Science,Standard MCQ,The unit of electric current is:,Volt,Ohm,Ampere,Watt,Ampere,NewDataTxt
GK,Science,Standard MCQ,Which gas is essential for burning?,Nitrogen,Carbon Dioxide,Oxygen,Hydrogen,Oxygen,NewDataTxt
GK,Science,Standard MCQ,The chemical formula of water is:,CO2,H2O,H2O2,HO,H2O,NewDataTxt
GK,Science,Standard MCQ,Which vitamin is produced by sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D,NewDataTxt
GK,Science,Standard MCQ,The powerhouse of the cell is:,Ribosome,Mitochondria,Nucleus,Golgi Apparatus,Mitochondria,NewDataTxt
GK,General,Standard MCQ,Human heart has how many chambers?,2,3,4,5,4,NewDataTxt
GK,Science,Standard MCQ,Laughing gas is:,Nitric Oxide,Nitrous Oxide,Nitrogen Dioxide,Carbon Monoxide,Nitrous Oxide,NewDataTxt
GK,Science,Standard MCQ,Which metal is liquid at room temperature?,Sodium,Mercury,Gallium,Bromine,Mercury,NewDataTxt
GK,General,Standard MCQ,Sound cannot travel through:,Solid,Liquid,Gas,Vacuum,Vacuum,NewDataTxt
GK,General,Standard MCQ,Light year is a unit of:,Time,Distance,Speed,Intensity,Distance,NewDataTxt
GK,General,Standard MCQ,World Environment Day is celebrated on:,22nd April,5th June,16th September,11th July,5th June,NewDataTxt
GK,History,Standard MCQ,Which gas is mainly responsible for global warming?,Oxygen,Nitrogen,Carbon Dioxide,Argon,Carbon Dioxide,NewDataTxt
GK,Meghalaya,Standard MCQ,Meghalaya was formed as a separate state on:,15th August 1947,21st January 1972,26th January 1950,1st April 1970,21st January 1972,NewDataTxt
GK,Meghalaya,Standard MCQ,The capital of Meghalaya is:,Tura,Shillong,Jowai,Nongstoin,Shillong,NewDataTxt
GK,Meghalaya,Standard MCQ,Which is the highest peak in Meghalaya?,Nokrek Peak,Shillong peak,Jupgli Peak,Kyllang Rock,Shillong peak,NewDataTxt
GK,Meghalaya,Standard MCQ,"The wettest place on earth, Mawsynram, is located in which district?",West Khasi Hills,East Khasi Hills,South Garo Hills,West Jaintia Hills,East Khasi Hills,NewDataTxt
GK,Meghalaya,Standard MCQ,Who was the first chief minister of Meghalaya?,Capt. W.A. Sangma,D.D. Pugh,B.B. Lyngdoh,P.A. Sangma,Capt. W.A. Sangma,NewDataTxt
GK,Meghalaya,Standard MCQ,Which national park is located in Meghalaya?,Kaziranga National Park,Nokrek National Park,Balpakram National park,Manas National Park,Balpakram National park,NewDataTxt
GK,Geography,Standard MCQ,The river Umngot flows through:,Cherrapunji,Dawki,Jowai,Tura,Dawki,NewDataTxt
GK,Meghalaya,Standard MCQ,Which festival is known as the 'Hundred Drums Festival' in Meghalaya?,Shad Suk Mynsiem,Behdeinkhlam,Wangala,Nongkrem,Wangala,NewDataTxt
GK,Meghalaya,Standard MCQ,The Garo Hills are located in which part of Meghalaya?,Eastern,Western,Northern,Southern,Western,NewDataTxt
GK,General,Standard MCQ,Nohkalikai Falls is located near:,Shillong,Jowai,Cherrapunji (sohra),Tura,Cherrapunji (sohra),NewDataTxt
GK,General,Standard MCQ,The living root bridges are found in:,Assam,Arunachal Pradesh,Nagaland,Meghalaya,Meghalaya,NewDataTxt
GK,Meghalaya,Standard MCQ,How many members are there in the Meghalaya Legislative Assembly?,40,60,90,126,60,NewDataTxt
GK,Meghalaya,Standard MCQ,"The official language of Meghalaya includes Khasi, Garo and:",Assamese,Bengali,English,Hindi,English,NewDataTxt
GK,General,Standard MCQ,'shad suk Mynsiem' is a festival of which tribe?,Garo,Khasi,Jaintia,Hajong,Khasi,NewDataTxt
GK,Meghalaya,Standard MCQ,Who is the current Governor of Meghalaya?,Ganga Prasad,Phagu Chauhan,C.H. Vijayashankar,Satyapal Malik,C.H. Vijayashankar,NewDataTxt
GK,Geography,Standard MCQ,Umiam Lake is also known as:,Ward's Lake,Barapani,Thadlaskein Lake,Bir Lake,Barapani,NewDataTxt
GK,Meghalaya,Standard MCQ,Which District Council is not in Meghalaya?,KHADC,JHADC,GHADC,KAADC,KAADC,NewDataTxt
GK,Meghalaya,Standard MCQ,The first newspaper in Khasi language was:,U Nongkit Khubor,U Lershai,U Nongsain Hima,Ka Jingshai Mynstep,U Lershai,NewDataTxt
GK,General,Standard MCQ,Which city is called the 'scotland of the East'?,Tura,Shillong,Jowai,Nongstoin,Shillong,NewDataTxt
GK,Polity,Standard MCQ,Who is the current President of India?,Ram Nath Kovind,Pranab Mukherjee,Droupadi Murmu,Jagdeep Dhankhar,Droupadi Murmu,NewDataTxt
GK,General,Standard MCQ,Chandrayaan-3 landed on which part of the moon?,North Pole,Equator,South Pole,Far Side,South Pole,NewDataTxt
GK,Meghalaya,Standard MCQ,Who is the current chief minister of Meghalaya?,Mukul Sangma,Conrad Sangma,James Sangma,Donkupar Roy,Conrad Sangma,NewDataTxt
GK,Polity,Standard MCQ,The right to constitutional remedies is provided under Article:,Article 14,Article 19,Article 21,Article 32,Article 32,NewDataTxt
GK,Polity,Standard MCQ,How many fundamental duties are there in the Indian Constitution?,10,11,12,9,11,NewDataTxt
GK,Polity,Standard MCQ,The Lok sabha can have a maximum of how many members?,545,550,552,250,552,NewDataTxt
GK,Geography,Standard MCQ,The Directive Principles of State Policy are contained in Part:,Part III,Part IV,Part IVA,Part V,Part IV,NewDataTxt
GK,Polity,Standard MCQ,Who has the power to remove the President from office?,Parliament,Supreme Court,Prime Minister,Election Commission,Parliament,NewDataTxt
GK,Polity,Standard MCQ,The quorum to constitute a meeting of Lok Sabha is:,1/5th of total members,1/10th of total members,1/8th of total members,1/4th of total members,1/10th of total members,NewDataTxt
GK,Polity,Standard MCQ,Which article abolishes untouchability?,Article 14,Article 15,Article 16,Article 17,Article 17,NewDataTxt
GK,Polity,Standard MCQ,Money Bill can be introduced only in:,Rajya Sabha,Lok Sabha,Joint Session,President's Office,Lok Sabha,NewDataTxt
GK,Polity,Standard MCQ,The maximum number of nominated members in Rajya Sabha is:,2,10,12,15,12,NewDataTxt
GK,Polity,Standard MCQ,Right to Education is provided under Article:,Article 19,Article 21,Article 21A,Article 45,Article 21A,NewDataTxt
GK,Polity,Standard MCQ,Who acts as the chairman of the Rajya Sabha?,President,Vice President,Prime Minister,Speaker,Vice President,NewDataTxt
GK,Polity,Standard MCQ,Anti-Defection Law is contained in which schedule?,8th schedule,9th schedule,10th schedule,11th schedule,10th schedule,NewDataTxt
GK,Polity,Standard MCQ,How many times can the President address the Parliament in a year?,Once,Twice,Thrice,Any number of times,Any number of times,NewDataTxt
GK,Polity,Standard MCQ,The right to property is now a:,Fundamental right,Legal right,Moral right,Natural right,Legal right,NewDataTxt
GK,Polity,Standard MCQ,The maximum age to contest for President is:,65 years,70 years,75 years,No upper age limit,No upper age limit,NewDataTxt
GK,Polity,Standard MCQ,Who administers the oath of office to the Governor?,President,Chief Justice of High Court,Chief Justice of India,Chief Minister,Chief Justice of High Court,NewDataTxt
GK,Polity,Standard MCQ,Which Amendment Act is known as the mini Constitution?,42nd Amendment,44th Amendment,86th Amendment,73rd Amendment,42nd Amendment,NewDataTxt
GK,Polity,Standard MCQ,The Emergency provisions are borrowed from:,USA,Germany,USSR,Australia,Germany,NewDataTxt
GK,General,Standard MCQ,How many types of emergencies are there?,2,3,4,5,3,NewDataTxt
GK,General,Standard MCQ,The Controller and Auditor General of India holds office for:,5 years or 65 years of age,6 years or 65 years of age,6 years or 62 years of age,5 years or 62 years of age,6 years or 65 years of age,NewDataTxt
GK,History,Standard MCQ,Who founded the Mauryan Empire?,Ashoka,Chandragupta Maurya,Bindusara,Harsha,Chandragupta Maurya,NewDataTxt
GK,History,Standard MCQ,The ancient university of Nalanda was located in:,Bengal,Bihar,Uttar Pradesh,Odisha,Bihar,NewDataTxt
GK,General,Standard MCQ,Who was the founder of Mughal Empire in India?,Akbar,Babur,Humayun,Sher Shah Suri,Babur,NewDataTxt
GK,History,Standard MCQ,The Battle of Panipat (First) was fought in:,1526,1556,1761,1757,1526,NewDataTxt
GK,General,Standard MCQ,Who built the Taj Mahal?,Akbar,Shah Jahan,Jahangir,Aurangzeb,Shah Jahan,NewDataTxt
GK,General,Standard MCQ,The Vedic Age is associated with:,Harappans,Aryans,Dravidians,Kushanas,Aryans,NewDataTxt
GK,General,Standard MCQ,Who was the first woman ruler of India?,Razia Sultan,Chand Bibi,Rani Lakshmibai,Nur Jahan,Razia Sultan,NewDataTxt
GK,History,Standard MCQ,The Non-cooperation Movement was launched in:,1915,1920,1930,1942,1920,NewDataTxt
GK,History,Standard MCQ,Who was the last Mughal Emperor?,Bahadur Shah Zafar,Aurangzeb,Shah Alam II,Bahadur Shah I,Bahadur Shah Zafar,NewDataTxt
GK,History,Standard MCQ,Bengal was partitioned in:,1905,1911,1919,1935,1905,NewDataTxt
GK,General,Standard MCQ,The Simon Commission came to India in:,1928,1927,1930,1942,1928,NewDataTxt
GK,History,Standard MCQ,Who founded the Indian National Congress?,A.O. Hume,W.C. Bonnerjee,Dadabhai Naoroji,Bal Gangadhar Tilak,A.O. Hume,NewDataTxt
GK,General,Standard MCQ,The Cripps Mission came to India in:,1942,1940,1945,1946,1942,NewDataTxt
GK,Science,Standard MCQ,"Who gave the slogan ""Give me blood and I will give you freedom""?",Subhash Chandra Bose,Bhagat Singh,Mahatma Gandhi,Jawaharlal Nehru,Subhash Chandra Bose,NewDataTxt
GK,General,Standard MCQ,The Dandi March was associated with:,Non-Cooperation Movement,Civil Disobedience Movement,Quit India Movement,Khilafat Movement,Civil Disobedience Movement,NewDataTxt
GK,General,Standard MCQ,Mahatma Gandhi returned to India from South Africa in:,1915,1914,1916,1918,1915,NewDataTxt
GK,General,Standard MCQ,"Who was known as the ""Nightingale of India""?",Sarojini Naidu,Lata Mangeshkar,Indira Gandhi,Annie Besant,Sarojini Naidu,NewDataTxt
GK,General,Standard MCQ,The Rowlatt Act was passed in:,1919,1920,1917,1915,1919,NewDataTxt
GK,History,Standard MCQ,Who was the Viceroy of India during the Quit India Movement?,Lord Linlithgow,Lord Mountbatten,Lord Wavell,Lord Irwin,Lord Linlithgow,NewDataTxt
GK,General,Standard MCQ,The Indian Independence Act was passed in:,1947,1946,1945,1950,1947,NewDataTxt
GK,Geography,Standard MCQ,Which is India's longest river?,Ganga,Godavari,Brahmaputra,Indus,Ganga,NewDataTxt
GK,General,Standard MCQ,Duncan Passage separates:,South Andaman and Little Andaman,North Andaman and South Andaman,Andaman and Nicobar,Lakshadweep and Maldives,South Andaman and Little Andaman,NewDataTxt
GK,Geography,Standard MCQ,Which river is known as 'Dakshina Ganga'?,Godavari,Krishna,Cauvery,Mahanadi,Godavari,NewDataTxt
GK,Geography,Standard MCQ,Chilika Lake is located in:,Odisha,Andhra Pradesh,West Bengal,Tamil Nadu,Odisha,NewDataTxt
GK,General,Standard MCQ,The Tropic of Cancer does not pass through:,Rajasthan,Gujarat,Tripura,Punjab,Punjab,NewDataTxt
GK,General,Standard MCQ,Which pass connects Srinagar with Leh?,Zoji La,Shipki La,Nathu La,Jelep La,Zoji La,NewDataTxt
GK,Geography,Standard MCQ,Loktak lake is in:,Manipur,Mizoram,Meghalaya,Assam,Manipur,NewDataTxt
GK,General,Standard MCQ,Which is the southernmost point of India?,Indira Point,Kanyakumari,Indira Col,Point Calimere,Indira Point,NewDataTxt
GK,General,Standard MCQ,The Western Ghats are also known as:,Sahyadri,Himadri,Shivalik,Purvanchal,Sahyadri,NewDataTxt
GK,Geography,Standard MCQ,Nanda Devi peak is located in:,Uttarakhand,Himachal Pradesh,Sikkim,Jammu and Kashmir,Uttarakhand,NewDataTxt
GK,Geography,Standard MCQ,Which state is the largest producer of spices?,Kerala,Karnataka,Andhra Pradesh,Tamil Nadu,Kerala,NewDataTxt
GK,Geography,Standard MCQ,Silent Valley is located in:,Kerala,Karnataka,Tamil Nadu,Uttarakhand,Kerala,NewDataTxt
GK,General,Standard MCQ,The Sundarbans mangrove forest is located in:,West Bengal,Odisha,Bangladesh,Assam,West Bengal,NewDataTxt
GK,General,Standard MCQ,Which is India's first national park?,Corbett,Kaziranga,Gir,Kanha,Corbett,NewDataTxt
GK,Geography,Standard MCQ,Jog Falls is located on which river?,Sharavathi,Narmada,Krishna,Kaveri,Sharavathi,NewDataTxt
GK,General,Standard MCQ,"Which city is known as the ""Pink City""?",Jaipur,Udaipur,Jodhpur,Jaisalmer,Jaipur,NewDataTxt
GK,General,Standard MCQ,The Palk Strait lies between:,India and Sri Lanka,India and Maldives,India and Myanmar,India and Indonesia,India and Sri Lanka,NewDataTxt
GK,Geography,Standard MCQ,Which state has the maximum forest cover?,Madhya Pradesh,Arunachal Pradesh,Chhattisgarh,Mizoram,Madhya Pradesh,NewDataTxt
GK,General,Standard MCQ,The Deccan Plateau is primarily made of:,Basalt rocks,Granite rocks,Limestone rocks,Sandstone rocks,Basalt rocks,NewDataTxt
GK,General,Standard MCQ,Inflation is measured by which index?,WPI & CPI,GDP Deflator,IIP,Sensex,WPI & CPI,NewDataTxt
GK,General,Standard MCQ,The headquarters of RBI is in:,New Delhi,Mumbai,Kolkata,Chennai,Mumbai,NewDataTxt
GK,Science,Standard MCQ,Which vitamin deficiency causes Night Blindness?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A,NewDataTxt
GK,General,Standard MCQ,The ozone layer protects us from:,Infrared rays,Ultraviolet rays,X-rays,Gamma rays,Ultraviolet rays,NewDataTxt
GK,General,Standard MCQ,The atomic number of hydrogen is:,1,2,3,4,1,NewDataTxt
GK,Meghalaya,Standard MCQ,Meghalaya means:,Abode of clouds,Land of hills,Forest state,Land of rivers,Abode of clouds,NewDataTxt
GK,Meghalaya,Standard MCQ,How many districts are there in Meghalaya?,11,12,13,10,12,NewDataTxt
GK,Meghalaya,Standard MCQ,The capital of Garo Hills is:,Tura,Shillong,Jowai,Williamnagar,Tura,NewDataTxt
GK,General,Standard MCQ,Cherrapunji is also known as:,Sohra,Mawsynram,Jowai,Nongstoin,Sohra,NewDataTxt
GK,Meghalaya,Standard MCQ,The state flower of Meghalaya is:,Lady slipper orchid,Rhododendron,Lotus,Foxtail Orchid,Lady slipper orchid,NewDataTxt
GK,General,Standard MCQ,Which tribe celebrates the Behdeinkhlam festival?,Khasi,Garo,Jaintia,Rabha,Jaintia,NewDataTxt
GK,Meghalaya,Standard MCQ,The state animal of Meghalaya is:,Snow leopard,Clouded leopard,Red panda,Asian Elephant,Clouded leopard,NewDataTxt
GK,General,Standard MCQ,Green revolution in India was started during:,1950s,1960s,1970s,1980s,1960s,NewDataTxt
GK,Science,Standard MCQ,The study of earthquakes is called:,Seismology,Meteorology,Volcanology,Geology,Seismology,NewDataTxt
GK,Science,Standard MCQ,Photosynthesis takes place in:,Leaves,Stems,Roots,Flowers,Leaves,NewDataTxt
GK,Science,Standard MCQ,Blood pressure is measured by:,Sphygmomanometer,Barometer,Thermometer,Lactometer,Sphygmomanometer,NewDataTxt
GK,Science,Standard MCQ,The largest gland in human body is:,Thyroid,Pancreas,Liver,Adrenal,Liver,NewDataTxt
GK,General,Standard MCQ,Malaria is caused by:,Bacteria,Virus,Protozoa,Fungi,Protozoa,NewDataTxt
GK,General,Standard MCQ,"The cleanest village in Asia, Mawlynnong, is in which district?",East Khasi Hills,West Khasi Hills,West Jaintia Hills,Ri-Bhoi,East Khasi Hills,NewDataTxt
GK,General,Standard MCQ,The Harappan civilization belonged to:,Iron Age,Bronze Age,Stone Age,Copper Age,Bronze Age,NewDataTxt
GK,General,Standard MCQ,The main source of information about Ashoka is:,Coins,Edicts,Secular literature,Foreign accounts,Edicts,NewDataTxt
GK,History,Standard MCQ,Buddhism was founded in:,5th Century BC,6th Century BC,4th Century BC,3rd Century BC,6th Century BC,NewDataTxt
GK,General,Standard MCQ,The Gupta period is known as:,Golden age,Dark age,Transition age,Bronze age,Golden age,NewDataTxt
GK,General,Standard MCQ,The Upanishads are:,Philosophical texts,Religious rituals,Legal codes,Epic stories,Philosophical texts,NewDataTxt
GK,General,Standard MCQ,Mahavira was the founder of:,Buddhism,Jainism,Sikhism,Hinduism,Jainism,NewDataTxt
GK,Geography,Standard MCQ,The capital of the Mauryan Empire was:,Taxila,Ujjain,Pataliputra,Vaishali,Pataliputra,NewDataTxt
GK,General,Standard MCQ,Who wrote Arthashastra?,Kautilya (Chanakya),Megasthenes,Kalidasa,Banabhatta,Kautilya (Chanakya),NewDataTxt
GK,General,Standard MCQ,The Mahabharata was written by:,Valmiki,Vyasa,Kalidasa,Tulsidas,Vyasa,NewDataTxt
GK,General,Standard MCQ,The Ramayana was written by:,Valmiki,Vyasa,Tulsidas,Kalidasa,Valmiki,NewDataTxt
GK,History,Standard MCQ,Ashoka belonged to which dynasty:,Gupta,Maurya,Kushan,Nanda,Maurya,NewDataTxt
GK,General,Standard MCQ,The Sangam Age is related to:,North India,South India,East India,West India,South India,NewDataTxt
GK,General,Standard MCQ,Chandragupta II was also known as:,Vikramaditya,Shakari,Napoleon of India,Priyadarshi,Vikramaditya,NewDataTxt
GK,General,Standard MCQ,The Ellora Caves are located in:,Maharashtra,Madhya Pradesh,Karnataka,Gujarat,Maharashtra,NewDataTxt
GK,General,Standard MCQ,Iron Pillar of Delhi was built during:,Mauryan period,Gupta period,Kushan period,Delhi Sultanate,Gupta period,NewDataTxt
GK,History,Standard MCQ,The battle between Alexander and Porus was fought at:,Hydaspes (Jhelum),Tarain,Panipat,Kalinga,Hydaspes (Jhelum),NewDataTxt
GK,General,Standard MCQ,Nalanda University was famous for:,Vedic studies,Buddhist learning,Jain philosophy,Military science,Buddhist learning,NewDataTxt
GK,General,Standard MCQ,The Rig Veda is:,Oldest Veda,Book of music,Book of rituals,Latest Veda,Oldest Veda,NewDataTxt
GK,General,Standard MCQ,The Sun Temple at Konark was built by:,Rajaraja Chola,Narsimha Deva I,Krishnadevaraya,Kharavela,Narsimha Deva I,NewDataTxt
GK,History,Standard MCQ,The Chola dynasty ruled over:,North India,South India,East India,West India,South India,NewDataTxt
GK,History,Standard MCQ,Who built the Brihadeswarar Temple?,Raja Raja Chola,Rajendra Chola,Parantaka I,Gandaraditya,Raja Raja Chola,NewDataTxt
GK,General,Standard MCQ,Aryabhata was a famous:,Physician,Grammarian,Mathematician and Astronomer,Poet,Mathematician and Astronomer,NewDataTxt
GK,History,Standard MCQ,The Kushan Empire was founded by:,Kanishka,Kujula Kadphises,Vima Kadphises,Vasudeva I,Kujula Kadphises,NewDataTxt
GK,History,Standard MCQ,The Delhi Sultanate was established in:,1206,1192,1526,1290,1206,NewDataTxt
GK,General,Standard MCQ,Qutub Minar was built by:,Iltutmish,Qutub-ud-din Aibak,Alauddin Khalji,Firoz Shah Tughlaq,Qutub-ud-din Aibak,NewDataTxt
GK,Polity,Standard MCQ,Akbar's court had nine jewels called:,Navaratnas,Ashtapradhan,Ashtadiggajas,Nine Gems,Navaratnas,NewDataTxt
GK,Polity,Standard MCQ,Tansen was a musician in the court of:,Akbar,Babur,Shah Jahan,Humayun,Akbar,NewDataTxt
GK,History,Standard MCQ,The Bhakti movement emphasized:,Devotion to God,Rituals and sacrifices,Idol worship,Asceticism,Devotion to God,NewDataTxt
GK,History,Standard MCQ,Guru Nanak founded:,Sikhism,Buddhism,Jainism,Kabir Panth,Sikhism,NewDataTxt
GK,History,Standard MCQ,Shivaji established the:,Maratha Empire,Mughal Empire,Rajput Empire,Vijayanagara Empire,Maratha Empire,NewDataTxt
GK,General,Standard MCQ,Red Fort was built by:,Akbar,Shah Jahan,Sher Shah Suri,Aurangzeb,Shah Jahan,NewDataTxt
GK,General,Standard MCQ,Aurangzeb's real name was:,Muhi-al-Din,Khurram,Salim,Dara Shikoh,Muhi-al-Din,NewDataTxt
GK,General,Standard MCQ,"Who was known as the ""Grand Old Man of India""?",Bal Gangadhar Tilak,Dadabhai Naoroji,Gopal Krishna Gokhale,W.C. Bonnerjee,Dadabhai Naoroji,NewDataTxt
GK,History,Standard MCQ,The Mughal emperor known for justice was:,Akbar,Jahangir,Shah Jahan,Aurangzeb,Jahangir,NewDataTxt
GK,General,Standard MCQ,The Sikh scripture is called:,Guru Granth Sahib,Adi Granth,Dasam Granth,Janamsakhis,Guru Granth Sahib,NewDataTxt
GK,History,Standard MCQ,The last Mughal Emperor was:,Bahadur Shah Zafar,Shah Alam II,Bahadur Shah I,Farrukhsiyar,Bahadur Shah Zafar,NewDataTxt
GK,History,Standard MCQ,The East India Company was established in:,1600,1602,1612,1664,1600,NewDataTxt
GK,History,Standard MCQ,The Indian National Congress was founded in:,1885,1857,1905,1915,1885,NewDataTxt
GK,General,Standard MCQ,The Salt March was led by:,Mahatma Gandhi,Jawaharlal Nehru,Sardar Patel,Subhash Chandra Bose,Mahatma Gandhi,NewDataTxt
GK,Geography,Standard MCQ,The largest ocean in the world is:,Atlantic,Indian,Pacific,Arctic,Pacific,NewDataTxt
GK,General,Standard MCQ,The highest waterfall in the world is:,Angel Falls,Niagara Falls,Victoria Falls,Jog Falls,Angel Falls,NewDataTxt
GK,Geography,Standard MCQ,The longest mountain range in the world is:,Andes,Himalayas,Rockies,Alps,Andes,NewDataTxt
GK,Geography,Standard MCQ,The largest desert in the world is:,Antarctic (Polar desert),Sahara,Gobi,Arabian,Antarctic (Polar desert),NewDataTxt
GK,Geography,Standard MCQ,The largest hot desert in the world is:,Sahara,Gobi,Kalahari,Thar,Sahara,NewDataTxt
GK,General,Standard MCQ,The Panama Canal connects:,Atlantic and Pacific,Red Sea and Mediterranean,Indian and Pacific,North Sea and Baltic,Atlantic and Pacific,NewDataTxt
GK,General,Standard MCQ,The Suez Canal connects:,Red sea and Mediterranean,Persian Gulf and Arabian Sea,Atlantic and Pacific,Black Sea and Aegean Sea,Red sea and Mediterranean,NewDataTxt
GK,General,Standard MCQ,The Great Barrier Reef is located in:,Australia,Indonesia,Philippines,USA,Australia,NewDataTxt
GK,General,Standard MCQ,Mount Kilimanjaro is in:,Kenya,Tanzania,South Africa,Uganda,Tanzania,NewDataTxt
GK,General,Standard MCQ,The Amazon rainforest is mainly in:,Peru,Colombia,Brazil,Bolivia,Brazil,NewDataTxt
GK,General,Standard MCQ,The Dead sea is located between:,Egypt and Israel,Jordan and Saudi Arabia,Israel and Jordan,Lebanon and Syria,Israel and Jordan,NewDataTxt
GK,General,Standard MCQ,The Equator passes through how many continents?,2,"3 (Africa, South America, Asia)",4,5,"3 (Africa, South America, Asia)",NewDataTxt
GK,Geography,Standard MCQ,The world's largest island is:,Greenland,Madagascar,New Guinea,Borneo,Greenland,NewDataTxt
GK,Geography,Standard MCQ,The Sahara Desert is located in:,Asia,Africa,South America,Australia,Africa,NewDataTxt
