Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,History,Standard MCQ,Who was the first female ruler of India?,Razia Sultana,Mumtaz Mahal,Rani Lakshmibai,Nur Jahan,Razia Sultana,Lucent
GK,General,Standard MCQ,Fish takes breath by:,Lungs,Spiracles,Gills,Skin,Gills,Lucent
GK,General,Standard MCQ,Who gave the slogan 'Inquilab Zindabad'?,Chandrashekhar Azad,Hasrat Mohani,Subhas Chandra Bose,Bhagat Singh,Hasrat Mohani,Lucent
GK,History,Standard MCQ,In which date 'Jallianwala Bagh Tragedy' happened?,13 April 1919,15 August 1919,26 January 1919,10 May 1919,13 April 1919,Lucent
GK,History,Standard MCQ,"After he left Congress, Subhas Chandra Bose founded which group?",Ghadar Party,Indian National Army,Swaraj Party,All India Forward Bloc,All India Forward Bloc,Lucent
GK,General,Standard MCQ,Who is known as 'Punjab Kesari'?,Bal Gangadhar Tilak,Bhagat Singh,Bipin Chandra Pal,Lala Lajpat Rai,Lala Lajpat Rai,Lucent
GK,General,Standard MCQ,'J.P. Saunders' was killed in which city?,Lahore,Karachi,Amritsar,Delhi,Lahore,Lucent
GK,History,Standard MCQ,Who sacrificed his life firstly in 1857 revolt?,Tantia Tope,Nana Sahib,Bahadur Shah Zafar,Mangal Pandey,Mangal Pandey,Lucent
GK,Polity,Standard MCQ,Who was the first female governor of India?,Annie Besant,Sarojini Naidu,Indira Gandhi,Sucheta Kripalani,Sarojini Naidu,Lucent
GK,General,Standard MCQ,"First female Indian, who summited Mt. Everest twice?",Santosh Yadav,Bachendri Pal,Arunima Sinha,Premalata Agarwal,Santosh Yadav,Lucent
GK,History,Standard MCQ,Who founded 'Brahma Samaj'?,Swami Dayanand,Raja Rammohan Rai,Keshab Chandra Sen,Debendranath Tagore,Raja Rammohan Rai,Lucent
GK,General,Standard MCQ,When did Vasco da gama came into India?,1498 AD,1526 AD,1600 AD,1757 AD,1498 AD,Lucent
GK,General,Standard MCQ,When did East India company came into India?,1602 AD,1608 AD,1600 AD,1498 AD,1600 AD,Lucent
GK,General,Standard MCQ,Guru Nanak Dev was born in which place?,Amritsar,Nankana Sahib,Patna Sahib,Anandpur Sahib,Nankana Sahib,Lucent
GK,General,Standard MCQ,Who has given the concept of Khalsa?,Guru Govind Singh,Guru Arjun Dev,Guru Nanak,Guru Tegh Bahadur,Guru Govind Singh,Lucent
GK,General,Standard MCQ,Akbar was impressed by which sikh Guru?,Guru Nanak,Guru Arjun Dev,Guru Ramdas,Guru Angad Dev,Guru Ramdas,Lucent
GK,General,Standard MCQ,Who is known as 'Iron Man of India'?,Lal Bahadur Shastri,Jawaharlal Nehru,Subhas Chandra Bose,Sardar Vallabh Bhai Patel,Sardar Vallabh Bhai Patel,Lucent
GK,General,Standard MCQ,Who wrote 'Arthashastra'?,Banabhatta,Megasthenes,Kautilya,Kalidasa,Kautilya,Lucent
GK,General,Standard MCQ,When do we observe 'Red Cross Day'?,8 May,22 April,10 December,5 June,8 May,Lucent
GK,Geography,Standard MCQ,'Onam' is the famous festival of which state?,Karnataka,Andhra Pradesh,Kerala,Tamil Nadu,Kerala,Lucent
GK,Geography,Standard MCQ,When did Delhi became the capital of India?,1857 AD,1947 AD,1911 AD,1950 AD,1911 AD,Lucent
GK,General,Standard MCQ,Peacock was declared as the national bird of India in which year?,1972,1950,1963,1947,1963,Lucent
GK,Geography,Standard MCQ,Which planet is known as the 'Galaxy like planet'?,Uranus,Jupiter,Neptune,Saturn,Saturn,Lucent
GK,Geography,Standard MCQ,Which is the largest satellite of solar system?,Deimos,Titan,Phobos,Ganymede,Ganymede,Lucent
GK,General,Standard MCQ,What is the Ratio of Indian National Flag?,3:2,4:3,2:3,3:1,3:2,Lucent
GK,General,Standard MCQ,Who has written 'National Song'?,Sri Aurobindo,Sarojini Naidu,Bankim Chandra Chatterjee,Rabindranath Tagore,Bankim Chandra Chatterjee,Lucent
GK,General,Standard MCQ,Indian Calendar follows which pattern?,Saka Samvat,Hijri pattern,Vikram Samvat,Gregorian pattern,Saka Samvat,Lucent
GK,Science,Standard MCQ,Pacemaker is associated with which organ?,Brain,Lungs,Kidney,Heart,Heart,Lucent
GK,Science,Standard MCQ,Which of the following is known as 'Master gland'?,Pituitary gland,Pancreas,Thyroid gland,Adrenal gland,Pituitary gland,Lucent
GK,Science,Standard MCQ,Humans used which metal firstly?,Bronze,Iron,Gold,Copper,Copper,Lucent
GK,Polity,Standard MCQ,Which Article is associated with 'Lok Sabha'?,Article 82,Article 80,Article 79,Article 81,Article 81,Lucent
GK,General,Standard MCQ,"Firstly, Metro Train was started in which city of India?",Mumbai,Delhi,Chennai,Kolkata,Kolkata,Lucent
GK,History,Standard MCQ,In which year 'Indian Railway' was established?,1905 AD,1885 AD,1853 AD,1947 AD,1853 AD,Lucent
GK,General,Standard MCQ,Who was the first Indian Astronaut?,Sunita Williams,Rakesh Sharma,Kalpana Chawla,Ravish Malhotra,Rakesh Sharma,Lucent
GK,General,Standard MCQ,What is headquarter of 'International Court of Justice'?,New York,The Hague,London,Geneva,The Hague,Lucent
GK,History,Standard MCQ,Who invented 'Rocket' in India?,Tipu Sultan,Akbar,Shivaji,Haider Ali,Haider Ali,Lucent
GK,General,Standard MCQ,Which Britisher has fought for Indian Freedom against British Empire?,Thomas Munro,Warren Hastings,William Bentinck,William Gordon,William Gordon,Lucent
GK,Geography,Standard MCQ,Which country shares the land border with maximum countries?,China,India,Russia,Canada,China,Lucent
GK,Science,Standard MCQ,Which gas mainly found in 'Bio Gas'?,Hydrogen,Carbon Dioxide,Methane,Nitrogen,Methane,Lucent
GK,General,Standard MCQ,Earth rotates on its axis __________.,West to East,East to West,South to North,North to South,West to East,Lucent
GK,History,Standard MCQ,"In which year, 'Amazon' was established?",2000 AD,1994 AD,1990 AD,1998 AD,1994 AD,Lucent
GK,General,Standard MCQ,Which was the first Hindi language newspaper?,Udant Martand,Kesari,Samachar Darpan,Bengal Gazette,Udant Martand,Lucent
GK,Sports,Standard MCQ,India has won eight times Gold in which olympics game?,Hockey,Football,Cricket,Kabaddi,Hockey,Lucent
GK,Sports,Standard MCQ,Where is the hq of 'International Olympics'?,Paris,Zurich,Geneva,Lausanne,Lausanne,Lucent
GK,Science,Standard MCQ,Which organ of human body filters urea from Blood?,Kidney,Liver,Heart,Spleen,Kidney,Lucent
GK,General,Standard MCQ,Which of the following range is known as 'Himadri'?,Karakoram,Outer Himalaya,Greater Himalaya,Lesser Himalaya,Greater Himalaya,Lucent
GK,General,Standard MCQ,Which woman has firstly summited Mt. Everest in the world?,Yoko Ono,Junko Tabei,Tamae Watanabe,Bachendri Pal,Junko Tabei,Lucent
GK,Science,Standard MCQ,'Jaundice' is associated with which organ?,Heart,Kidney,Liver,Lungs,Liver,Lucent
GK,History,Standard MCQ,In which year Microsoft was established?,1985 AD,1975 AD,1970 AD,1995 AD,1975 AD,Lucent
GK,General,Standard MCQ,Ashoka was influenced by which Buddhist Monk?,Chandragupta,Upagupta,Bindusara,Chanakya,Upagupta,Lucent
GK,History,Standard MCQ,Which Mughal Emperor was illiterate?,Shah Jahan,Humayun,Babur,Akbar,Akbar,Lucent
GK,History,Standard MCQ,Who established City 'Amritsar'?,Guru Nanak,Guru Arjun Dev,Guru Ramdas,Guru Tegh Bahadur,Guru Ramdas,Lucent
GK,General,Standard MCQ,"Firstly, who told that Earth rotates around the sun?",Galileo,Copernicus,Kepler,Newton,Copernicus,Lucent
GK,History,Standard MCQ,Who established 'Charminar' in Hyderabad?,Hayat Bakshi Begum,Quli Qutub Shah,Ibrahim Qutb Shah,Muhammad Qutb Shah,Quli Qutub Shah,Lucent
GK,Sports,Standard MCQ,When do we observe 'Sports Day'?,29th August,29th July,21st June,15th August,29th August,Lucent
GK,Science,Standard MCQ,Family Culicidae is the scientific name of whom?,Butterfly,Mosquito,Honeybee,Housefly,Mosquito,Lucent
GK,General,Standard MCQ,Who is known as Napoleon of India?,Ashoka,Samudragupta,Harsha,Chandragupta Maurya,Samudragupta,Lucent
GK,Computer,Standard MCQ,What is the shortcut key to insert a hyperlink in MS office?,Ctrl + M,Ctrl + H,Ctrl + L,Ctrl + K,Ctrl + K,Lucent
GK,General,Standard MCQ,In which year Mahatma Gandhi was born?,1885,1875,1857,1869,1869,Lucent
GK,General,Standard MCQ,Who is the author of 'My Experiment with Truth'?,Jawaharlal Nehru,Mahatma Gandhi,Subhas Chandra Bose,B.G. Tilak,Mahatma Gandhi,Lucent
GK,General,Standard MCQ,Dada Saheb Phalke award is associate with which field?,Literature,Film,Sports,Science,Film,Lucent
GK,General,Standard MCQ,Which is the highest bravery award in India?,Vir Chakra,Ashok Chakra,Bharat Ratna,Paramveer Chakra,Paramveer Chakra,Lucent
GK,General,Standard MCQ,Who is known as the Shakespeare of India?,Tulsidas,Rabindranath Tagore,Valmiki,Kalidas,Kalidas,Lucent
GK,General,Standard MCQ,First Indian satellite was launched in which year?,1980,1983,1975,1969,1975,Lucent
GK,General,Standard MCQ,In which date we celebrate 'International Women's Day'?,10 December,8 March,22 April,5 June,8 March,Lucent
GK,History,Standard MCQ,Who established 'Banaras Hindu University'?,Madan Mohan Malviya,Mahatma Gandhi,Swami Vivekananda,Raja Rammohan Roy,Madan Mohan Malviya,Lucent
GK,General,Standard MCQ,What is the total length of Indian Coastal line?,7516 km,8200 km,5400 km,6100 km,7516 km,Lucent
GK,General,Standard MCQ,Who built G.T Road?,Chandragupta Maurya,Sher Shah Suri,Akbar,Alauddin Khilji,Sher Shah Suri,Lucent
GK,Science,Standard MCQ,'Impaired Blood clotting' is caused by the lack of which vitamin?,Vitamin E,Vitamin D,Vitamin K,Vitamin C,Vitamin K,Lucent
GK,Science,Standard MCQ,'Human Infertility' is caused by the lack of which vitamin?,Vitamin E,Vitamin A,Vitamin C,Vitamin B,Vitamin E,Lucent
GK,Science,Standard MCQ,'Calciferol' is the scientific name of which vitamin?,Vitamin B,Vitamin C,Vitamin D,Vitamin A,Vitamin D,Lucent
GK,General,Standard MCQ,We observe 'National Science Day' on which date?,28 March,28 February,28 April,28 January,28 February,Lucent
GK,Science,Standard MCQ,Red Blood cells made in which part of the body?,Liver,Kidney,Spleen,Bone Marrow,Bone Marrow,Lucent
GK,General,Standard MCQ,"In Eye Donation, which part of eye is suppose to donate?",Lens,Iris,Cornea,Retina,Cornea,Lucent
GK,General,Standard MCQ,Congress was divided into two parts in which year?,1911,1905,1907,1916,1907,Lucent
GK,History,Standard MCQ,In which year FIFA was established?,1910,1920,1896,1904,1904,Lucent
GK,General,Standard MCQ,Which country is the highest producer of Silver?,Mexico,China,Australia,Peru,Mexico,Lucent
GK,General,Standard MCQ,We observe 'world Earth Day' on which date?,22 April,22 March,22 June,22 May,22 April,Lucent
GK,Geography,Standard MCQ,'Flower Valley' is situated in which state?,Sikkim,Himachal Pradesh,Uttarakhand,Jammu & Kashmir,Uttarakhand,Lucent
GK,Sports,Standard MCQ,Hopman cup is associated with which sports?,Tennis,Table Tennis,Squash,Badminton,Tennis,Lucent
GK,General,Standard MCQ,What is the life span of RBC?,150 Days,90 Days,60 Days,120 Days,120 Days,Lucent
GK,Computer,Standard MCQ,Who is the developer of 'C program language'?,Dennis Ritchie,Bjarne Stroustrup,Linus Torvalds,Ken Thompson,Dennis Ritchie,Lucent
GK,General,Standard MCQ,UNESCO gives 'Kalinga Award' in which field?,Journalism,Science,Literature,Peace,Science,Lucent
GK,History,Standard MCQ,In which year 'Youtube' was established?,2006,2004,2008,2005,2005,Lucent
GK,History,Standard MCQ,When was 'charminar' established in Hyderabad?,1605 AD,1556 AD,1591 AD,1600 AD,1591 AD,Lucent
GK,General,Standard MCQ,'White Revolution' is associated with which thing?,Petroleum,Fish,Milk,Eggs,Milk,Lucent
GK,General,Standard MCQ,"In which year firstly, national emergency was imposed in India?",1950,1975,1971,1962,1962,Lucent
GK,Polity,Standard MCQ,Which article is associated with Prime Minister?,Article 324,Article 280,Article 74,Article 52,Article 74,Lucent
GK,General,Standard MCQ,Which city is known as 'Brass city'?,Aligarh,Moradabad,Varanasi,Firozabad,Moradabad,Lucent
GK,General,Standard MCQ,Which city is known as 'City of locks'?,Agra,Moradabad,Aligarh,Kanpur,Aligarh,Lucent
GK,General,Standard MCQ,'Make In India' Project has been launched in which year?,2015,2014,2017,2016,2014,Lucent
GK,General,Standard MCQ,Who is known as 'Desh-Bandhu'?,C.R. Das,B.G. Tilak,C.F. Andrews,Subhas Chandra Bose,C.R. Das,Lucent
GK,General,Standard MCQ,How many spokes are there in 'Ashoka Chakra'?,26,28,22,24,24,Lucent
GK,General,Standard MCQ,Round Revolution is associated with which?,Eggplant,Tomato,Potato,Onion,Potato,Lucent
GK,Geography,Standard MCQ,'Silao Khaza' is a famous sweet dish of which state?,Bihar,Jharkhand,Uttar Pradesh,West Bengal,Bihar,Lucent
GK,General,Standard MCQ,What is the ancient name of sri Lanka?,Burma,Formosa,Siam,Ceylon,Ceylon,Lucent
GK,General,Standard MCQ,Who was the First Muslim Invader in India?,Mhd Bin Qasim,Mahmud Ghazni,Babur,Muhammad Ghori,Mhd Bin Qasim,Lucent
GK,Science,Standard MCQ,Who had discover 'Vitamin'?,Robert Koch,Alexander Fleming,Funk,Pasteur,Funk,Lucent
GK,Computer,Standard MCQ,What was the name of first indigenous computer in India?,Anurag,Siddharth,Param,Vajra,Siddharth,Lucent
GK,Geography,Standard MCQ,Which is the largest site of Indus valley civilization?,Mohenjodaro,Lothal,Harappa,Rakhigarhi,Rakhigarhi,Lucent
GK,General,Standard MCQ,What is the hq of 'ICC'?,Mumbai,London,Dubai,Melbourne,Dubai,Lucent
GK,General,Standard MCQ,Which country is the highest producer of Gold?,China,Russia,Australia,South Africa,China,Lucent
GK,Geography,Standard MCQ,Wheeler Island is now known as _______.,Ross Island,Havelock Island,Wheeler Island,Abdul Kalam Island,Abdul Kalam Island,Lucent
GK,History,Standard MCQ,In which year ISRO was established?,1972,1969,1962,1958,1969,Lucent
GK,General,Standard MCQ,Kandariya Mahadev Temple is situated in which place?,Konark,Puri,Mount Abu,Khajuraho,Khajuraho,Lucent
GK,Geography,Standard MCQ,"In which state of India, There is maximum forest cover?",Chhattisgarh,Odisha,Arunachal Pradesh,Madhya Pradesh,Madhya Pradesh,Lucent
GK,Computer,Standard MCQ,What is the shortcut key to open 'Run Prompt'?,Windows + D,Windows + R,Windows + E,Windows + L,Windows + R,Lucent
GK,Science,Standard MCQ,Which glass is used in kitchen Pots?,Flint Glass,Crown Glass,Soda Glass,Pyrex Glass,Pyrex Glass,Lucent
GK,Geography,Standard MCQ,Which is the highest silk producing state in India?,West Bengal,Andhra Pradesh,Tamil Nadu,Karnataka,Karnataka,Lucent
GK,Geography,Standard MCQ,Ahom kingdom was established in which state of India?,Manipur,Meghalaya,Assam,Tripura,Assam,Lucent
GK,General,Standard MCQ,What is the symptom of Black Fungus?,Cough,Skin rash,Nasal congestion,Fever,Nasal congestion,Lucent
GK,History,Standard MCQ,'G-7 Nations' was established in which year?,1995,1965,1975,1985,1975,Lucent
GK,General,Standard MCQ,Mid Day was started in which year?,2005,1995,1990,2000,1995,Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of Saffron?,Sikkim,Himachal Pradesh,Uttarakhand,Jammu & Kashmir,Jammu & Kashmir,Lucent
GK,Geography,Standard MCQ,Kathakali is a famous dance of which state?,Karnataka,Andhra Pradesh,Kerala,Tamil Nadu,Kerala,Lucent
GK,Polity,Standard MCQ,There are how many High Courts in India?,24,21,28,25,25,Lucent
GK,Polity,Standard MCQ,Which Constitutional amendment is known as 'Mini Constitution'?,86th,73rd,42nd,44th,42nd,Lucent
GK,History,Standard MCQ,Who was the founder of Lodi Dynasty?,Khizr Khan,Sikandar Lodi,Bahlol Lodi,Ibrahim Lodi,Bahlol Lodi,Lucent
GK,General,Standard MCQ,Which is the largest fort of India?,Chittorgarh Fort,Mehrangarh Fort,Red Fort,Gwalior Fort,Chittorgarh Fort,Lucent
GK,General,Standard MCQ,Who is known as 'shaheed E Azam'?,Sukhdev,Bhagat Singh,Rajguru,Chandra Shekhar Azad,Bhagat Singh,Lucent
GK,General,Standard MCQ,Who killed General Dyer?,Bhagat Singh,Udham Singh,Kartar Singh Sarabha,Madan Lal Dhingra,Udham Singh,Lucent
GK,Geography,Standard MCQ,Which river is known as the sorrow of Bengal?,Kosi,Hooghly,Teesta,Damodar,Damodar,Lucent
GK,General,Standard MCQ,Who has built peacock throne?,Jahangir,Shahjahan,Akbar,Aurangzeb,Shahjahan,Lucent
GK,History,Standard MCQ,In which year RBI was established?,1947,1949,1935,1921,1935,Lucent
GK,General,Standard MCQ,Plaster of Paris is made up of ________.,Silica,Clay,Gypsum,Limestone,Gypsum,Lucent
GK,Science,Standard MCQ,Who had discovered 'blood group'?,William Harvey,Robert Koch,Louis Pasteur,Karl Landsteiner,Karl Landsteiner,Lucent
GK,Geography,Standard MCQ,Which planet is known as 'Evening star'?,Mars,Jupiter,Mercury,Venus,Venus,Lucent
GK,General,Standard MCQ,Tap roots protects plants from whom?,Insects,Rodents,Worms,Birds,Worms,Lucent
GK,Science,Standard MCQ,Which gas is found in the Sun Maximum?,Nitrogen,Oxygen,Hydrogen,Helium,Hydrogen,Lucent
GK,Science,Standard MCQ,Which city is known as Las Vegas of Asia?,Macau,Singapore,Hong Kong,Tokyo,Macau,Lucent
GK,History,Standard MCQ,Who is the last emperor of Delhi sultanate?,Ibrahim Lodhi (Ibrahim Lodi),Daulat Khan Lodi,Bahlol Lodi,Sikandar Lodi,Ibrahim Lodhi (Ibrahim Lodi),Lucent
GK,General,Standard MCQ,There are how many stars in Indian Railway Logo?,16,18,17,15,17,Lucent
GK,Geography,Standard MCQ,Which state is known as 'Garden of spices'?,Tamil Nadu,Andhra Pradesh,Kerala,Karnataka,Kerala,Lucent
GK,Polity,Standard MCQ,Who was the first president of INC?,Dadabhai Naoroji,Badruddin Tyabji,A.O. Hume,W.C. Banerjee,W.C. Banerjee,Lucent
GK,General,Standard MCQ,Who is the founder of 'Homeopathy'?,Edward Jenner,Hippocrates,Samuel Hahnemann,Louis Pasteur,Samuel Hahnemann,Lucent
GK,Geography,Standard MCQ,'Yakshagaan' is a famous dance of which state?,Tamil Nadu,Kerala,Andhra Pradesh,Karnataka,Karnataka,Lucent
GK,Science,Standard MCQ,Which gas is used to make ripe fruits?,Ethylene,Acetylene,Methane,Ethane,Ethylene,Lucent
GK,Geography,Standard MCQ,Which rivers made 'Sundarban Delta'?,Krishna - Godavari,Narmada - Tapti,Ganga - Brahmaputra,Indus - Ganges,Ganga - Brahmaputra,Lucent
GK,General,Standard MCQ,Nobel Award was started in which year?,1896,1911,1901,1921,1901,Lucent
GK,Geography,Standard MCQ,Sundarban National Park is situated in which state?,Odisha,Assam,Bihar,West Bengal,West Bengal,Lucent
GK,General,Standard MCQ,Who was the founder of Fort William College?,Lord Wellesley,Lord Cornwallis,Warren Hastings,Lord Dalhousie,Lord Wellesley,Lucent
GK,Geography,Standard MCQ,Hampi is situated in which state?,Kerala,Andhra Pradesh,Tamil Nadu,"Karnataka (Note: Written as ""Humpy"" in notes)","Karnataka (Note: Written as ""Humpy"" in notes)",Lucent
GK,General,Standard MCQ,Headquarters of Gadar Party is in which city?,San Francisco,Vancouver,London,New York,San Francisco,Lucent
GK,General,Standard MCQ,What is the ancient name of Allahabad?,Avantika,Pataliputra,Prayagraj,Kashi,Prayagraj,Lucent
GK,Geography,Standard MCQ,Which country has the largest Border?,USA,Canada,Russia,China,Canada,Lucent
GK,General,Standard MCQ,National Unity Day is celebrated in:,31st October,31st December,31st August,31st July,31st October,Lucent
GK,Science,Standard MCQ,Why the colour of Blood is red?,Haemoglobin,Myoglobin,Chlorophyll,Hemocyanin,Haemoglobin,Lucent
GK,Geography,Standard MCQ,"In which state, There is a largest number of Railway Tracks?",Uttar Pradesh,Rajasthan,West Bengal,Maharashtra,Uttar Pradesh,Lucent
GK,General,Standard MCQ,What is the source of energy in human body?,Protein,Fat,Vitamin,Carbohydrate,Carbohydrate,Lucent
GK,General,Standard MCQ,Who was the first foreigner attacker in India?,Darius,Sikandar (Alexander the Great),Xerxes,Cyrus,Sikandar (Alexander the Great),Lucent
GK,General,Standard MCQ,The one and only Pakistani who awarded with Bharat Ratna:,Benazir Bhutto,Khan Abdul Gaffar Khan,Muhammad Ali Jinnah,Liaquat Ali Khan,Khan Abdul Gaffar Khan,Lucent
GK,Geography,Standard MCQ,What is the distance measurement unit of ocean?,Kilometer,Fathom,Nautical mile,Mile,Nautical mile,Lucent
GK,General,Standard MCQ,"In human, old age become the lack of ______.",Thyroid,Pituitary,Thymus (Due to degeneration of the thymus gland),Adrenal,Thymus (Due to degeneration of the thymus gland),Lucent
GK,General,Standard MCQ,Who is the writer of Malgudie days?,Ruskin Bond,Raja Rao,R.K. Narayan,Mulk Raj Anand,R.K. Narayan,Lucent
GK,Science,Standard MCQ,What is the percentage of Blood in whole human body?,12%,7%,10%,5%,7%,Lucent
GK,Geography,Standard MCQ,Which Planet has highest density?,Jupiter,Venus,Earth,Mercury,Earth,Lucent
GK,Sports,Standard MCQ,There are how many players in gymnastics?,8,9,7,6,8,Lucent
GK,General,Standard MCQ,'Straight from the Heart' is a biography of whom?,Sachin Tendulkar,Sourav Ganguly,Sunil Gavaskar,Kapil Dev,Kapil Dev,Lucent
GK,Sports,Standard MCQ,Radha-Mohan Cup is related to which sport?,Polo,Tennis,Hockey,Golf,Polo,Lucent
GK,Sports,Standard MCQ,What is the national game of New Zealand?,Football,Netball,Rugby,Cricket,Rugby,Lucent
GK,General,Standard MCQ,Where is the tomb of saint Kabir?,Mathura,Ayodhya,Varanasi,Maghar,Maghar,Lucent
GK,General,Standard MCQ,The one and only active volcano of india is situated in:,Minicoy,Barren Andaman & Nicobar (Barren Island),Narcondam,Lakshadweep,Barren Andaman & Nicobar (Barren Island),Lucent
GK,Geography,Standard MCQ,Pangong lake is situated in which state?,Ladakh,Sikkim,Himachal Pradesh,Jammu & Kashmir,Ladakh,Lucent
GK,General,Standard MCQ,World Doctor's day is celebrated on which date?,1 July,2 July,4 July,3 July,2 July,Lucent
GK,Geography,Standard MCQ,Munda is the main Tribe of which state?,Chhattisgarh,Madhya Pradesh,Jharkhand,Odisha,Jharkhand,Lucent
GK,General,Standard MCQ,What is the idle temperature for rice cultivation?,10°C - 15°C,25°C - 35°C,20°C - 27°C,15°C - 20°C,20°C - 27°C,Lucent
GK,General,Standard MCQ,Who was designated as a commander in chief in Akbar's court?,Todar Mal,Birbal,Tansen,Maan Singh (Man Singh I),Maan Singh (Man Singh I),Lucent
GK,General,Standard MCQ,Air force day is celebrated on:,4th December,26th January,15th January,8th October,8th October,Lucent
GK,Polity,Standard MCQ,Which article is known as soul of constitution?,Article 14,Article 21,Article 32,Article 19,Article 32,Lucent
GK,Science,Standard MCQ,Which gas is used in chips Packet?,Helium Gas,Oxygen Gas,Nitrogen Gas,Carbon Dioxide Gas,Nitrogen Gas,Lucent
GK,General,Standard MCQ,Who is the author of a most famous book 'Life of Pi'?,Arundhati Roy,Salman Rushdie,Yann Martel,Kiran Desai,Yann Martel,Lucent
GK,General,Standard MCQ,One Astronomical Unit is the average distance between:,Earth and Sun,Sun and Pluto,Sun and Mars,Earth and Moon,Earth and Sun,Lucent
GK,General,Standard MCQ,Who destroyed 'Nalanda University'?,Mahmud Ghazni,Muhammad Ghori,Bakhtiyar Khilji,Alauddin Khilji,Bakhtiyar Khilji,Lucent
GK,General,Standard MCQ,Which type of waves are used in night vision equipment?,Ultraviolet waves,Infra-red waves,Microwaves,Radio waves,Infra-red waves,Lucent
GK,General,Standard MCQ,Butterfly has ______ number of legs.,Six,Ten,Four,Eight,Six,Lucent
GK,General,Standard MCQ,One barrel of oil is approximately equal to:,200 litres,120 litres,159 litres,100 litres,159 litres,Lucent
GK,Science,Standard MCQ,Which non-metal exists as a liquid at room temp?,Iodine,Bromine,Mercury,Chlorine,Bromine,Lucent
GK,Science,Standard MCQ,Which type of glass can cut off UV rays?,Soda glass,Crook glass (Crookes glass),Pyrex glass,Flint glass,Crook glass (Crookes glass),Lucent
GK,General,Standard MCQ,Who discovered heavy water?,Harold Clayton Urey,Niels Bohr,Albert Einstein,Marie Curie,Harold Clayton Urey,Lucent
GK,General,Standard MCQ,When does Heart rest?,During deep breathing,Between two beats,During sleep,Never,Between two beats,Lucent
GK,General,Standard MCQ,The human hormone insulin is present in:,Pancreas,Thyroid,Adrenal,Pituitary,Pancreas,Lucent
GK,Sports,Standard MCQ,'Lona' is related to which game?,Kho Kho,Hockey,Kabaddi,Wrestling,Kabaddi,Lucent
GK,Geography,Standard MCQ,Tamasha is folk dance of which state?,Madhya Pradesh,Gujarat,Rajasthan,Maharashtra,Maharashtra,Lucent
GK,General,Standard MCQ,Where is 'Chichen Itza' situated?,Mexico,Peru,Egypt,Brazil,Mexico,Lucent
GK,Geography,Standard MCQ,The deepest lake in the world is:,Caspian Sea,Victoria lake,Baikal lake,Superior lake,Baikal lake,Lucent
GK,General,Standard MCQ,Which element is used in the manufacture of safety matches?,Phosphorous,Sulfur,Carbon,Sodium,Phosphorous,Lucent
GK,General,Standard MCQ,Who appoints the members of UPSC?,Chief Justice,UPSC Chairman,Prime Minister,President,President,Lucent
GK,General,Standard MCQ,Bharat Ratna was first awarded in:,1947,1962,1954,1950,1954,Lucent
