Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Antonym,Find Antonym,Pretence,Honour,Falsehood,Beauty,Honesty,Honesty,5.pdf
English,Antonym,Find Antonym,Humour,Misery,Seriousness,Craze,Comedy,Seriousness,5.pdf
English,Antonym,Find Antonym,Suppress,Encourage,Impress,Restrain,Plunder,Encourage,5.pdf
English,Antonym,Find Antonym,Inevitable,Significant,Doomed,Realistic,Avoidable,Avoidable,5.pdf
English,Antonym,Find Antonym,Strife,Harmony,Conflict,Permanent,Grief,Harmony,5.pdf
English,Error Detection,Find Error,Human minds (a) / is slow to adjust (b)/ to changing conditions (c) / No error (d).,Human minds,is slow to adjust,to changing conditions,No error,is slow to adjust,5.pdf
English,Error Detection,Find Error,Western scientific inventions (a)/has increased use of sophisticated equipment (b)/ and transformed our lives at an astounding speed (c) / No error (d).,Western scientific inventions,has increased use of sophisticated equipment,and transformed our lives at an astounding speed,No error,has increased use of sophisticated equipment,5.pdf
English,Error Detection,Find Error,Knowledge can be achieved through education (a)/but since it is the power of mind (b) / it cannot be achieved through all (c) / No error (d).,Knowledge can be achieved through education,but since it is the power of mind,it cannot be achieved through all,No error,it cannot be achieved through all,5.pdf
English,Error Detection,Find Error,No human being (a) / howsoever great or powerful (b)/ was ever so free than a fish (c)/No error (d).,No human being,howsoever great or powerful,was ever so free than a fish,No error,was ever so free than a fish,5.pdf
English,Error Detection,Find Error,She has a remarkably kind disposition (a) / who wins her friends (b) / wherever she goes (c)/No error (d).,She has a remarkably kind disposition,who wins her friends,wherever she goes,No error,who wins her friends,5.pdf
English,Jumbled Sentences,Find Jumbled Sentences,Indain women - P: Enjoy equal status and opportunities Q: Have become financially independent R: In the present era S: And have a say in decision making,PQRS,RPSQ,QPRS,RQPS,RQPS,5.pdf
English,Jumbled Sentences,Find Jumbled Sentences,The tradition of tolerance - P: That is an appreciation of other faiths Q: Not merely in a negative R: Has been with us for centuries S: But in a positive sense,PQSR,PRQS,RQSP,RPQS,RPQS,5.pdf
English,Jumbled Sentences,Find Jumbled Sentences,The present day politicians - P: Obsessed with the monomania of looting the country Q: And filling their own coffers R: The leaders governing the country S: Could be seen fighting for the bone like the stray dogs on the street.,SPQR,PQRS,RSPQ,RPQS,PQSR,5.pdf
English,Jumbled Sentences,Find Jumbled Sentences,The teacher - P: Can only perform his work Q: Like the artist... R: If he feels himself... S: Not dominated...,QPRS,PSQR,PRSQ,PSRQ,QPRS,5.pdf
English,Jumbled Sentences,Find Jumbled Sentences,When we survey - P: We find everywhere some forms of the family Q: All known human societies R: Some set of permanent arrangements... S: In caring for children...,QPRS,PRSQ,PQRS,QRSP,QPRS,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The young want a cause ___ fight,For,To,In,On,To,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,and something ___ rebel,Against,For,In,Towards,For,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,rebel ___.,To,In,For,With,To,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,There is no dearth ___ it,For,Towards,Against,At,Against,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,dearth ___ it either,For,Of,In,At,Of,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,either ___ India or in the world.,At,In,For,On,In,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Nor is there need ___ this attitude,Of,For,To,In,For,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,attitude ___ change,To,For,With,Of,To,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,change ___ age,In,To,With,For,With,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,dissipated ___ trivialities,With,In,For,On,In,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,You ___ me such a fright earlier.,Are giving,Have given,Gave,Give,Gave,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,I ___ my lunch now.,Am eating,Have eaten,Eat,Was eating,Am eating,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,I'm ___ the letter to her.,Deliver,Delivered,Delivering,Delivers,Delivering,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Our committee meeting ___ last night.,Is,Was,Were,Has been,Was,5.pdf
English,Fill in the Blanks,Find Fill in the Blanks,My notes ___ disppeared.,Has,Have,Have been,Has been,Have,5.pdf
English,Voice,Find Voice,I have written a letter.,A letter is written by me.,A letter was being written by me.,A letter has been written by me.,A letter had been written by me.,A letter has been written by me.,5.pdf
English,Voice,Find Voice,She is baking a cake.,A cake is baked by her.,A cake was baked by her.,A cake is being baked by her.,A cake was being baked by her.,A cake is being baked by her.,5.pdf
English,Voice,Find Voice,Sandra bought a new dress.,A new dress is bought by Sandra.,A new dress is being bought by Sandra.,A new dress was bought by Sandra.,A new dress was being bought by Sandra.,A new dress was bought by Sandra.,5.pdf
English,Voice,Find Voice,The assignment was finished by us.,We finished the assignment.,We had finished the assignment.,We were finishing the assignment.,We have finished the assignment.,We finished the assignment.,5.pdf
English,Voice,Find Voice,He is being followed by the police.,The police followed him.,The police were following him.,The police follow him.,The police are following him.,The police are following him.,5.pdf
English,Spelling Check,Find Spelling,Choose the word with the correct spelling.,Rheumatic,Reumatic,Rhuematic,Ruematic,Rheumatic,5.pdf
English,Spelling Check,Find Spelling,Choose the word with the correct spelling.,Lieuitenant,Leutenant,Lieutenant,Liuetenant,Lieutenant,5.pdf
English,Spelling Check,Find Spelling,Choose the word with the correct spelling.,Surveilance,Surveillance,Surveillence,Surveilence,Surveillance,5.pdf
English,Spelling Check,Find Spelling,Choose the word with the correct spelling.,Comissioner,Commissioner,Commisioner,Commissionor,Commissioner,5.pdf
English,Spelling Check,Find Spelling,Choose the word with the correct spelling.,Occurrence,Ocurence,Occurance,Occurence,Occurrence,5.pdf
English,Synonym,Find Synonym,Attempt,Drop,Endeavour,Pray,Predict,Endeavour,5.pdf
English,Synonym,Find Synonym,Devout,Wordly,Faithful,Shady,Proud,Faithful,5.pdf
English,Synonym,Find Synonym,Prodigal,Miser,Wanderer,Spendthrift,Cruel,Spendthrift,5.pdf
English,Synonym,Find Synonym,Caution,Warn,Threaten,Hurt,Appease,Warn,5.pdf
English,Synonym,Find Synonym,Implore,Appeal,Comfort,Lie,Crush,Appeal,5.pdf
GK,Indian Polity,Find Indian Polity,Which of the following is not a Fundamental Right?,Right to Freedom,Right to Property,Right to Constitutional remedies,Right to minorities to establish and administer educational institutions,Right to Property,5.pdf
GK,Economy,Find Economy,Liquid Asset means,The money invested in oil and related products,The assets which are very easily convertible into cash,The money kept as deposits with banks,The money not kept in bank account,The assets which are very easily convertible into cash,5.pdf
GK,Economy,Find Economy,The largest nationalized bank in India is,State Bank of India,Reserve Bank of India,Bank of India,Central Bank of India,State Bank of India,5.pdf
GK,Economy,Find Economy,A condition of international market where the countries do not impose customs duty or other taxes on imports of goods is called,Free Ports,Free Market,Free Trade,Free Goods,Free Trade,5.pdf
GK,Economy,Find Economy,The excess of total expenditure over total receipts less borrowings is called,Budget Deficit,Primary Deficit,Fiscal Deficit,Revenue Deficit,Fiscal Deficit,5.pdf
GK,Economy,Find Economy,The Soft Drinks market in India is an example of,Free Competitive Market,Oligopoly,Monopoly,Monopolistic Competition,Oligopoly,5.pdf
GK,Geography,Find Geography,Widening of a river valley takes place due to,Hydralic Action,Sudden flood due to cloud burst,Lateral erosion,Corrasion,Lateral erosion,5.pdf
GK,Economy,Find Economy,The funds set aside periodically on which interest accrues, which is then used to repay loans are called,Reserves,Annuity,Sinking Fund,Fixed Deposits,Sinking Fund,5.pdf
GK,General,Standard MCQ,Who is known as "The Saint of Gutters"?,Mother Teressa,Gautam Buddha,Francis Xavier,Swami Vivekananda,Mother Teressa,5.pdf
GK,Economy,Find Economy,During inflation, the gainers are the,Creditors,Debtors,Bond-holders,Daily wage-earners,Debtors,5.pdf
GK,Geography,Find Geography,Port Stanley is the capital of the,Falkland Islands,West Indies,Hawaii Island,Solomon Islands,Falkland Islands,5.pdf
GK,Geography,Find Geography,Match the following: A. Asbestos B. Mica C. Lignite D. Copper / i. Chile ii. China iii. India iv. Russia,ii iii i iv,i iii ii iv,iii iv i ii,iv iii ii i,iv iii ii i,5.pdf
GK,Geography,Find Geography,Antarctica is an example of,Mountain glaciers,Continental glaciers,Alpine glaciers,Piedmont glaciers,Continental glaciers,5.pdf
GK,Geography,Find Geography,The water cycle is (i. Exchange of water between the earth and atmosphere ii. Movement of water between the earth and atmosphere),Only i,Only ii,Both i and ii,Neither i nor ii,Both i and ii,5.pdf
GK,Geography,Find Geography,The term that best describes the shape of the earth is,Geoid,Globe,Sphere,Ellipse,Geoid,5.pdf
GK,Geography,Find Geography,The "Golden Triangle" an area in South East Asia is known for,Opium production,Providing shelter to militants,Ethnic violence,Child Trafficking,Opium production,5.pdf
GK,Science,Find Science,A food chain consists of,Producers consumers decomposers,Producers carnivores decomposers,Primary producer herbivores carnivores,Producers primary consumers carnivores,Producers consumers decomposers,5.pdf
GK,Science,Find Science,A Bison grazing on grasses growing in a meadow represents,A consumer eating a producer,A producer eating a consumer,Two consumers,Two producers,A consumer eating a producer,5.pdf
GK,Science,Find Science,"Dung beetles feeding on the waste of cattle, grazing on hay in a field, represent",A decomposer feeding on the wastes of a consumer eating a producer,A producer feeding on the wastes of a producer eating a consumer,A producer feeding on the wastes of a consumer eating a producer,A consumer feeding on the wastes of a decomposer eating a producer,A decomposer feeding on the wastes of a consumer eating a producer,5.pdf
GK,Science,Find Science,"On some island, during the mating season, birds compete intensely for breeding sites. On these islands, these breeding sites represent",A limiting factor,A zone of stress,An environmental condition,A limit of tolerance,A limiting factor,5.pdf
GK,Environment,Find Environment,One of the greatest human impacts on natural ecosystems results from,The disruption of natural biogeochemical cycles,The generation of electricity from nuclear energy,The use of our oceans for shipping and transportation,The use of the sun and wind to generate electricity,The disruption of natural biogeochemical cycles,5.pdf
GK,History,Find History,Who wrote the book "Gandhi and Stalin"?,Jawaharlal Nehru,Louis Fisher,B. G. Tilak,Prem Chand,Louis Fisher,5.pdf
GK,General,Standard MCQ,The 'Ryder Cup' is associated with,Badminton,Golf,Hockey,Cricket,Golf,5.pdf
GK,Science,Find Science,Transformer is based upon the principle of,Self-induction,Mutual induction,Eddy current,Thermoelectric current,Mutual induction,5.pdf
GK,Science,Find Science,Two bulbs of 100W and 60W are operating on 220V line. The ratio of their resistance is,5:3,3:5,25:9,9:25,3:5,5.pdf
GK,Science,Find Science,"When a current flowing through a resistance increases four times, the heat developed will increase -",Two times,Four times,Eight times,Sixteen times,Sixteen times,5.pdf
GK,Science,Find Science,"In diesel engines, ignition takes place by",Compression,Electrical spark,Dynamo,Battery,Compression,5.pdf
GK,Science,Find Science,Electromagnetic radiation is emitted by,X-ray,Electrons,Ultrasonic,Protons,X-ray,5.pdf
GK,Science,Find Science,The outer planet not visible to the naked eye is,Uranus,Jupiter,Saturn,Mars,Uranus,5.pdf
GK,Science,Find Science,The size of the moon is ___ the size of the earth,One-fifth,One-fourth,One-third,One-eight,One-fourth,5.pdf
GK,Science,Find Science,"When two gases are mixed, the entropy",Remains constant,Decreases,Increases,Becomes zero,Increases,5.pdf
GK,Science,Find Science,The most important ore of aluminium is,Bauxite,Magnetite,Haematite,Monazite,Bauxite,5.pdf
GK,Science,Find Science,The chemical name of Vitamin C is,Citric acid,Ascorbic acid,Oxalic acid,Nitric acid,Ascorbic acid,5.pdf
GK,Science,Find Science,"Ethyl alcohol forms molasses, which is a by-product of the sugar industry, is made by a process called",Decomposition,Decoction,Fermentation,Hydrogenation,Fermentation,5.pdf
GK,Science,Find Science,Which of the following is present in hard water?,Calcium,Aluminium,Sodium,Chlorine,Calcium,5.pdf
GK,Science,Find Science,The basic unit of all living organisms is,A drop of blood,A molecule of glucose,A set of proteins,A cell,A cell,5.pdf
GK,Science,Find Science,A cockroach has,Three pairs of walking legs,Two pairs of walking legs,Four pairs of walking legs,One pair of walking legs,Three pairs of walking legs,5.pdf
GK,Science,Find Science,"An infectious disease caused by a spiral shaped bacterium, spread mainly by sexual contact is -",Syphilis,AIDS,Cancer,Tuberculosis,Syphilis,5.pdf
GK,Science,Find Science,Diabetes is caused due to,Lack of sugar,Lack of insulin,Lack of calcium,Lack of vitamins,Lack of insulin,5.pdf
GK,Science,Find Science,Heart attack is caused due to,Blood sugar,Cholesterol,Blood protein,Blood urea,Cholesterol,5.pdf
GK,Science,Find Science,Internal ear is filled with,Perilymph,Endolymph,Lymph,Both (a) and (b),Both (a) and (b),5.pdf
GK,Geography,Find Geography,Which of the following states has the largest reserves of coal?,West Bengal,Bihar,Meghalaya,Madhya Pradesh,Madhya Pradesh,5.pdf
GK,Science,Find Science,Test tube baby means,Ovum fertilised and developed in test tubes,Ovum fertilised in uterus and developed in test tubes,Ovum fertilised in test tubes and developed in the uterus,Ovum developed without fertilisation in test tubes,Ovum fertilised in test tubes and developed in the uterus,5.pdf
GK,General,Standard MCQ,Which country gifted the 'Statue of Liberty' to USA in 1886?,Canada,Italy,England,France,France,5.pdf
GK,Geography,Find Geography,"""Port Blair"", the capital of Andaman and Nicobar islands is located in",North Andaman,South Andaman,Middle Andaman,Little Andaman,South Andaman,5.pdf
GK,Economy,Find Economy,T.R. Malthus is famous for his book on,Mathematics,Geography,Population,Market Economy,Population,5.pdf
GK,Meghalaya GK,Find Meghalaya GK,The first Governor of the State of Meghalaya was,Lallan Prasad Singh,Braj Kumar Nehru,Madhuka Dighe,M. M. Jacob,Braj Kumar Nehru,5.pdf
GK,General,Standard MCQ,A device or method that measures the person's potential ability is,Achievement test,Attitude scale,Personality test,Aptitude test,Aptitude test,5.pdf
GK,Science,Find Science,The part of the Poppy plant (Papaver) which yields the narcotic opium is,Dried root,Dried seeds,Dried leaves,Unripe fruits,Unripe fruits,5.pdf
GK,Geography,Find Geography,Which country is known as the 'Playground of Europe'?,Switzerland,Denmark,Austria,Finland,Switzerland,5.pdf
GK,History,Find History,The first noteworthy King of Magadha was,Bimbisara,Ajatashatru,Brihadratha,Bharata,Bimbisara,5.pdf
GK,History,Find History,Who among the following Mughal emperors introduced the 'Mansabdari System ?,Akbar,Shahjahan,Aurangzeb,Babur,Akbar,5.pdf
GK,History,Find History,The "Doctrine of Lapse" was introduced by,Warren Hastings,Lord Cornwallis,Lord Dalhousie,Lord William Bentinck,Lord Dalhousie,5.pdf
GK,History,Find History,The Brahmo Samaj was founded by,Raja Ram Mohan Ray,Swami Dayanand Saraswati,Annie Besant,Swami Vivekanand,Raja Ram Mohan Ray,5.pdf
GK,History,Find History,Who among the following described the Cripps proposals as a 'Post-dated cheque on a failing bank'?,Jawaharlal Nehru,Mahatma Gandhi,C. Rajagopalachari,B.G. Tilak,Mahatma Gandhi,5.pdf
GK,Indian Polity,Find Indian Polity,"Which of the following are correct about the Rajya Sabha? i. It is not subject to dissolution ii. It has a term of five years iii. One third of the members retire after every two years iv. Its member shall not be less than 25 years of age",i ii and iii,ii iii and iv,i and iii,ii and iv,i and iii,5.pdf
GK,Indian Polity,Find Indian Polity,India is a republic because,Its Head of the State is elected for a fixed period,There is a Parliamentary rule,It is completely free,It prescribes democratic government,Its Head of the State is elected for a fixed period,5.pdf
GK,Indian Polity,Find Indian Polity,Who was the first Vice-President of India?,Dr. Zakir Hussain,Dr. S. Radhakrishnan,V. V. Giri,G. S. Pathak,Dr. S. Radhakrishnan,5.pdf
GK,Indian Polity,Find Indian Polity,A candidate for the office of the President of India should not be less than,25 years of age,30 years of age,35 years of age,40 years of age,35 years of age,5.pdf
GK,Indian Polity,Find Indian Polity,President's rule can be imposed in a State under,Article 352,Article 356,Article 360,Article 280,Article 356,5.pdf
GK,Indian Polity,Find Indian Polity,The ex-officio Chairman of Rajya Sabha is,The President,The Vice-President,The Prime Minister,Chief Justice of Supreme Court,The Vice-President,5.pdf
