Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Fill in the Blanks,Find Fill in the Blanks,___ and lodging are available here.,Fooding,Eating,Food,Munching,Food,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Walking ___ the best way to stay fit.,was,can be,may be,is,is,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Because of global warming, the climate ___ changed a lot.",may,had,has,have,has,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Democracy without freedom is ___.,meaningless,meaningful,alright,funny,meaningless,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"He was so passionate about the job, he was like ___",an enthusiastic man,a man on a mission,an expert,a powerful man,a man on a mission,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Who ___ to apply for the post of Treasurer?,want,is wanting,are wanting,wants,wants,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,We can eat in the Café ___ order a takeout.,and,or,but,either,or,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,She succeeded ___ everyone failed.,where,when,while,and,where,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Can you ___ me to the Post Office?,see,direct,wave,find,direct,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,She could not convince the jury ___ her pleas.,in spite of,by,despite,with,with,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Please don't walk ___ the grass.,over,on,above,in,on,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Good heavens! How time ___!,flies,has flown,fly,flew,flies,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Her job comes with a ___ pay package.,nice,okay,hefty,beautiful,hefty,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Jim was already in bed when I ___ him last night.,called,call,am calling,was calling,called,3.pdf
English,Error Detection,Find Error,"(i) The bulldozer made a humming noise. (ii) The noise irritated people nearby. (iii) They complained against the irritated bulldozer.",(i) and (iii),(ii) and (iii),(i) and (ii),"(i), (ii) and (iii)",(i) and (ii),3.pdf
English,Error Detection,Find Error,"(i) The guests were treated to a lavish meal. (ii) They ate until they were full. (iii) That dinner party was talked about for a long time.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",3.pdf
English,Error Detection,Find Error,"(i) Ram was known for his eloquence. (ii) Ram was invited to speech on the meeting. (iii) At the last minute, he had to cancel the program.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) The aeroplane glided smooth in the blue sky. (ii) The passengers leaned back in their seats. (iii) It was such a comfortable flight.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(ii) and (iii),3.pdf
English,Error Detection,Find Error,"(i) John is such a good swimmer. (ii) He could swam in any sea. (iii) He once swam in the English Channel.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) Isn't he the Principal of the school? (ii) I heard that he's a man of integrity. (iii) He combines strictness with approachability.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",3.pdf
English,Error Detection,Find Error,"(i) Can you do me favor? (ii) Can you favor me? (iii) Can you do me this favor please?",(ii) and (iii),(i) and (iii),(i) and (ii),"(i), (ii) and (iii)",(ii) and (iii),3.pdf
English,Error Detection,Find Error,"(i) He told us a very interesting story. (ii) The interesting listeners were captivated. (iii) Nobody wanted the story to end.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) How many books do you wish to buy? (ii) How many books did she wish to buy? (iii) You wish to buy books how many?",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (ii),3.pdf
English,Error Detection,Find Error,"(i) Jim was the monitor in class for five years. (ii) Jim was the class monitor for five years. (iii) Jim had been a class monitor for five years.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",3.pdf
English,Error Detection,Find Error,"(i) I've never seen a tiger at close range. (ii) I've never seen a tiger this close. (iii) I've never seen a tiger close up.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",3.pdf
English,Error Detection,Find Error,"(i) She's a famous actress of the yesteryears. (ii) She's a famous actress yesterday. (iii) She was once a famous actress.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) After the harvest, the farmer went to bed happy. (ii) The good harvest made the farmer happy. (iii) After the harvest, the farmer went happy to bed.",(i) and (iii),(i) and (ii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (ii),3.pdf
English,Error Detection,Find Error,"(i) The current is too strong to cross. (ii) The current is too wide to cross. (iii) The current is too powerful to cross.",(ii) and (iii),(i) and (iii),(i) and (ii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) The Sun is too heat today. (ii) The Sun is too hot today. (iii) The Sun is so hot today.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(ii) and (iii),3.pdf
English,Error Detection,Find Error,"(i) Don't you have anything better to do? (ii) Don't you have anything to do with your time? (iii) Don't you have anything useful to do?",(i) and (iii),(ii) and (iii),(i) and (ii),"(i), (ii) and (iii)","(i), (ii) and (iii)",3.pdf
English,Error Detection,Find Error,"(i) For heaven's sake, stop wasting your time! (ii) For heaven's sake, stop waste time! (iii) For heaven's sake, stop wasting time!",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) She's a strong, confident woman. (ii) She exudes confident. (iii) Her confidence is admired by many.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (iii),3.pdf
English,Error Detection,Find Error,"(i) Which pairs of shoes do you prefer? (ii) Which pair of shoes do you prefer? (iii) Which of these pairs do you prefer?",(ii) and (iii),(i) and (ii),(i) and (iii),"(i), (ii) and (iii)",(ii) and (iii),3.pdf
English,Error Detection,Find Error,"(i) The restaurant opens at all hours. (ii) The restaurant opens 24x7. (iii) The restaurant is opening at all times.",(i) and (ii),(ii) and (iii),(i) and (iii),"(i), (ii) and (iii)",(i) and (ii),3.pdf
English,Idiom,Find Idiom,His most trusted friend proved to be a snake in the grass.,a traitor,a hidden enemy,a coward,a warmonger,a hidden enemy,3.pdf
English,Idiom,Find Idiom,You cannot have your cake and eat it too.,have it both ways,make the best of a situation,enjoy without paying,absolve yourself of guilt,have it both ways,3.pdf
English,Idiom,Find Idiom,The cashier wiped the nose of his employer by presenting false bills.,abused,cheated,slapped,militant,cheated,3.pdf
English,Idiom,Find Idiom,"After the death of his father, the son played ducks and drakes with his inherited property.",gambled,trade horses,played falsely with others,spend lavishly,spend lavishly,3.pdf
English,Idiom,Find Idiom,"After his retirement, Mr. Dave is thinking of resting on his oars.",going for a long vacation,resting after hard work,starting a new business,keeping himself busy,resting after hard work,3.pdf
English,One Word Substitution,Find One Word Substitution,Easy to shape in desired form,portable,versatile,malleable,potable,malleable,3.pdf
English,One Word Substitution,Find One Word Substitution,Very pleasing to eat,edible,insipid,mouthful,luscious,luscious,3.pdf
English,One Word Substitution,Find One Word Substitution,"One who desires freedom from control, especially government control",extremist,anarchist,terrorist,doomed,anarchist,3.pdf
English,One Word Substitution,Find One Word Substitution,Beyond all power of destruction of time,impenetrable,immaculate,imperishable,omnipotent,imperishable,3.pdf
English,One Word Substitution,Find One Word Substitution,Composed of elements highly diverse in character,heterogeneity,heterolytic,heteroamorous,vacillating,heterogeneity,3.pdf
English,Synonym,Find Synonym,Punctilious,careless,apathetic,tardy,meticulous,meticulous,3.pdf
English,Synonym,Find Synonym,Mendacious,broken,truthful,deceitful,veracity,deceitful,3.pdf
English,Synonym,Find Synonym,Ameliorate,increase,clasp,improve,dissemble,improve,3.pdf
English,Synonym,Find Synonym,Cursory,casual,careful,degrading,thorough,casual,3.pdf
English,Synonym,Find Synonym,Implicate,involve,exonerate,corrupt,accuse,involve,3.pdf
English,Antonym,Find Antonym,Selfish,selfless,self-absorbed,kind,prejudiced,selfless,3.pdf
English,Antonym,Find Antonym,Comfortable,hard,uncomfortable,difficult,easy,uncomfortable,3.pdf
GK,History,Find History,Which of the following rulers issued copper coins named 'Jital'?,Muhammad bin Tughlaq,Firoz Shah Tughlaq,Iltutmish,Quli Qutub Shah,Iltutmish,3.pdf
GK,Geography,Find Geography,Which canyon is known as the 'Grand Canyon' of India or the Arizona of India?,Gandikota Canyon,Colca Canyon,Copper Canyon,Gangani Canyon,Gandikota Canyon,3.pdf
GK,Economy,Find Economy,Population dividend means,the total population of the world,migration of the people from poorer region to richer region,the total number of population above 65 years,the youthful age structure of a population,the youthful age structure of a population,3.pdf
GK,Science,Find Science,Which of the given vitamins is a water-soluble vitamin?,Vitamin A,Vitamin B,Vitamin K,Vitamin D,Vitamin B,3.pdf
GK,Current Affairs,Find Current Affairs,"The Summer Olympics, 2020 was hosted by Japan. The Summer Olympics, 2024 was hosted by",China,France,the United Kingdom,the United States,France,3.pdf
GK,Science,Find Science,Entomology is the science that studies,the origin and history of technical and scientific terms,the behavior of human beings,insects,the formation of rocks,insects,3.pdf
GK,Geography,Find Geography,"The tallest statue in the world, the 'Statue of Unity', is located near which dam?",Bhakra Nangal Dam,Sardar Sarovar Dam,Tehri Dam,Hirakud Dam,Sardar Sarovar Dam,3.pdf
GK,General,Standard MCQ,"Grand Central Terminal, Park Avenue, New York is the world's",highest railway station,longest railway station,largest railway station,None of the above,largest railway station,3.pdf
GK,Environment,Find Environment,The United Nations Framework Convention on Climate Change deals with,reduction in fossil fuel usage,$CO_{2}$ emission mitigation,reduction in uranium production,greenhouse gases emission mitigation,greenhouse gases emission mitigation,3.pdf
GK,Meghalaya GK,Find Meghalaya GK,The only drone station in Meghalaya is located in,East Khasi Hills,West Khasi Hills,Jaintia Hills,Garo Hills,West Khasi Hills,3.pdf
GK,Current Affairs,Find Current Affairs,Which of the following countries is not a member of the Quadrilateral Security Dialogue (QSD or QUAD)?,Australia,India,Japan,The United Kingdom,The United Kingdom,3.pdf
GK,Science,Find Science,NASA's James Webb Space Telescope was launched into space on,19th December 2021,21st December 2021,23rd December 2021,25th December 2021,25th December 2021,3.pdf
GK,Science,Find Science,The unit of electrical resistance of a conductor is,farad,volt,ampere,ohm,ohm,3.pdf
GK,General,Standard MCQ,Hockey was introduced in the Asian Games in,1966 in Bangkok,1958 in Tokyo,1962 in Jakarta,1970 in New Delhi,1958 in Tokyo,3.pdf
GK,History,Find History,Which treaty ended the Anglo-Sikh War?,The Treaty of Amritsar,The Treaty of Peace of Paris,The Treaty of Lahore,None of the above,The Treaty of Lahore,3.pdf
GK,General,Standard MCQ,Rangaswamy Cup is associated with,archery,football,hockey,cricket,hockey,3.pdf
GK,Geography,Find Geography,India's longest bridge 'Dhola-Sadiya Bridge' was built over which tributary of the Brahmaputra River?,Kameng River,Lohit River,Subansiri River,Manas River,Lohit River,3.pdf
GK,Current Affairs,Find Current Affairs,Which country launched the world's first nationwide 5G mobile network?,Japan,Malaysia,South Korea,China,South Korea,3.pdf
GK,Meghalaya GK,Find Meghalaya GK,Who among the following has inaugurated the 'Greater Sohra Water Supply Scheme' in Meghalaya?,Shri Gajendra Singh Shekhawat,Shri Satya Pal Malik,Shri Narendra Modi,Shri Amit Shah,Shri Amit Shah,3.pdf
GK,Economy,Find Economy,In which year did the Goods and Services Tax (GST) come into effect in India?,2014,2015,2017,2019,2017,3.pdf
GK,General,Standard MCQ,Where in the world did the game of lawn tennis originate?,Birmingham,Rome,Amsterdam,Berlin,Birmingham,3.pdf
GK,Environment,Find Environment,Who introduced 'Green Army' for environmental conservation?,Japan,China,Australia,Egypt,Australia,3.pdf
GK,Science,Find Science,The first pico-satellite of India is,GSAT-4,ANUSAT,INSAT,STUDSAT,STUDSAT,3.pdf
GK,International Relations,Find International Relations,Alliance among Brazil, Germany, India and Japan to support each other's bid for permanent seat on the United Nations Security Council (UNSC) is called,Alliance 4,G4,Big 4,None of the above,G4,3.pdf
GK,Environment,Find Environment,The 'Miyawaki method' is well known for,the promotion of commercial farming in arid and semi-arid areas,the development of gardens using genetically modified flora,creating mini forest in urban areas,harvesting wind energy on coastal areas and on sea surfaces,creating mini forest in urban areas,3.pdf
GK,Geography,Find Geography,Which State in India has the longest coastline?,Tamil Nadu,Andhra Pradesh,Gujarat,West Bengal,Gujarat,3.pdf
GK,History,Find History,"Who coined the slogan, 'Inquilab Zindabad'?",Maulana Hasrat Mohani,Bhagat Singh,Chandra Shekhar Azad,Sir Muhammad Iqbal,Maulana Hasrat Mohani,3.pdf
GK,Economy,Find Economy,Which is the first bank to introduce ATM in India?,HDFC,SBI,HSBC,Bank of Baroda,HSBC,3.pdf
GK,General,Standard MCQ,The philosophical study of beliefs and knowledge is better known as,etymology,ontology,entomology,epistemology,epistemology,3.pdf
GK,General,Standard MCQ,Which Indian cricketer became the first woman to score a double century in test cricket?,Jhulan Goswami,Mithali Raj,Smriti Mandhana,Deepti Sharma,Mithali Raj,3.pdf
GK,Current Affairs,Find Current Affairs,"Who is the author of the book, The Little Book of Encouragement?",Dalai Lama,Mohammad Hamid Ansari,Meghna Pant,Chetan Bhagat,Dalai Lama,3.pdf
GK,Meghalaya GK,Find Meghalaya GK,The State Flower of Meghalaya is,Cherry Blossom,Lady's Slipper Orchid,Jasmine,Foxtail Orchid,Lady's Slipper Orchid,3.pdf
GK,Science,Find Science,Which space agency launched its first civilian mission to space?,NASA,SpaceX,JAXA,ISRO,SpaceX,3.pdf
GK,General,Standard MCQ,"Birju Maharaj, who expired on 17th January, 2022, was an exponent of which Indian classical dance form?",Kathakali,Bharatanatyam,Kathak,Kuchipudi,Kathak,3.pdf
GK,Current Affairs,Find Current Affairs,Which social media platform launched a feature named 'Tip Jar' which enables users to send money to their favorite accounts?,Facebook,Signal,Telegram,Twitter,Twitter,3.pdf
GK,Current Affairs,Find Current Affairs,Which one of the following became the first State to table paperless budget in India?,Meghalaya,West Bengal,Madhya Pradesh,Uttar Pradesh,Uttar Pradesh,3.pdf
GK,Current Affairs,Find Current Affairs,Which one of the following is the first country to approve Oxford-AstraZeneca COVID-19 vaccine?,USA,England,Japan,India,England,3.pdf
GK,History,Find History,The Parakram Diwas is observed to celebrate the birth anniversary of,Atal Bihari Vajpayee,Pranab Mukherjee,Dr. A. P. J. Abdul Kalam,Subhas Chandra Bose,Subhas Chandra Bose,3.pdf
GK,Geography,Find Geography,Which State Government developed the world's largest floating solar project on Narmada River?,Tamil Nadu,West Bengal,Odisha,Madhya Pradesh,Madhya Pradesh,3.pdf
GK,General,Standard MCQ,The National Youth Day is celebrated on,7th January,8th January,26th January,12th January,12th January,3.pdf
GK,History,Find History,Where was the first major public appearance of Mahatma Gandhi in India in February 1916?,Champaran,Kheda,Inauguration of Banaras Hindu University,Rowlatt Satyagraha,Inauguration of Banaras Hindu University,3.pdf
GK,Science,Find Science,A wound watch spring has ___ energy.,mechanical,kinetic,potential,light,potential,3.pdf
GK,Science,Find Science,"When water freezes, its density",increases,decreases,becomes zero,remains constant,decreases,3.pdf
GK,Science,Find Science,"The term 'URL' used in internet technology stands for",Unique Remote Locator,Unique Resource Locator,Uniform Remote Locator,Uniform Resource Locator,Uniform Resource Locator,3.pdf
GK,Geography,Find Geography,India and Sri Lanka are divided by the,Gibraltar Strait,Bering Strait,Palk Strait,Hormuz Strait,Palk Strait,3.pdf
GK,Economy,Find Economy,Which of the following is correct regarding the Gross Domestic Savings in India?,Contribution of the Household Sector is the largest,Contribution of the Government Sector is the largest,Contribution of the Corporate Sector is the largest,Contribution of the Agricultural Sector is the largest,Contribution of the Household Sector is the largest,3.pdf
GK,General,Standard MCQ,Which of the following sports involves animals?,Jallikattu,Mallakhamb,Lagori,Vallamkali,Jallikattu,3.pdf
GK,General,Standard MCQ,'Sangai' festival is celebrated in which of the following Indian States?,Manipur,Assam,Nagaland,Tripura,Manipur,3.pdf
GK,General,Standard MCQ,"Avani Lekhara became the first Indian woman to win two Paralympic medals at the Tokyo Paralympics, 2020. Which of the following was her discipline?",Badminton,Rifle shooting,Table tennis,Archery,Rifle shooting,3.pdf
GK,Science,Find Science,Chronologically arrange the following Indian-origin astronauts on the basis of their flying into space starting with the first.,"Sunita Williams, Kalpana Chawla, Sirisha Bandla, Rakesh Sharma","Rakesh Sharma, Kalpana Chawla, Sunita Williams, Sirisha Bandla","Rakesh Sharma, Sunita Williams, Kalpana Chawla, Sirisha Bandla","Kalpana Chawla, Sirisha Bandla, Rakesh Sharma, Sunita Williams","Rakesh Sharma, Kalpana Chawla, Sunita Williams, Sirisha Bandla",3.pdf
