Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"She said to him, ""What a cold day !""",She told him that it was a cold day.,She exclaimed that it was a cold day.,She exclaimed sorrowfully that it was a cold day.,She exclaimed that it was a very cold day.,She exclaimed that it was a very cold day.,6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,The man exclaimed that his wallet was stolen.,"My wallet was stolen!"" the man said.","""Somebody stole my wallet!"" exclaimed the man.","The man exclaimed, ""My wallet was stolen!""","The man cried, ""My wallet was stolen.""","""My wallet was stolen!"" the man said.",6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"Socrates said, ""Virtue is its own reward.""",Socrates said that virtue had its own rewards.,Socrates says that virtue is its own rewards.,Socrates said that virtue is its own reward.,Socrates said that virtue was its own rewards.,Socrates said that virtue is its own reward.,6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,Mr. Sam asked the boy if he could tell him where the nearest post office is.,Where is the nearest post office ? Mr. Sam asked the boy.,"Mr. Sam asked the boy ""Could you tell me where the nearest post office is""?","Mr. Sam asked the boy ""where is the nearest post office""?","Mr. Sam said to the boy ""where is the nearest post office""?","Mr. Sam asked the boy ""where is the nearest post office""?",6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,He asked me why I was late.,"He asked me, ""Why I was late ?""","He asked me, ""Why you are late ?""","He asked me, ""Why am I late?""","He asked me, ""Why are you late?""","He asked me, ""Why are you late?""",6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"""Alright, yes, I was wrong and you were right"", he said.",He admitted that I was wrong and you were right.,He admitted that I was wrong and he was right.,He admitted that he had been wrong and I had been right.,He admitted that he has been wrong and I have been right.,He admitted that he had been wrong and I had been right.,6.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,I asked my brother if he had returned the money to his friend.,"I said to my brother, ""Have you return the money to his friend?""","I said to my brother, ""Have you returned the money to your friend?""",Do you return the money to his friend.,Had you returned the money to my friend.,"I said to my brother, ""Have you returned the money to your friend?""",6.pdf
GK,Education,Find Education,Which two universities were born through North Eastern Hill University (N.E.H.U.) ?,Mizoram & Sikkim Universities,Tripura & Mizoram Universities,Manipur & Nagaland Universities,Nagaland & Mizoram Universities,Nagaland & Mizoram Universities,6.pdf
GK,Education,Find Education,When was the Indian Institute of Management Shillong established?,2007,2009,2010,2012,2007,6.pdf
GK,Current Affairs,Find Current Affairs,The headquarters of Serum Institute of India Private Limited is located in,Kolkata,Pune,Hyderabad,Chennai,Pune,6.pdf
GK,History,Find History,'Kangleipak' is the historic name of which state ?,Manipur,Mizoram,Meghalaya,Sikkim,Manipur,6.pdf
GK,Current Affairs,Find Current Affairs,The Bollywood actress Priyanka Chopra Jonas wrote a memoir titled,Becoming,Unfinished,My broken language,Sunshine girl,Unfinished,6.pdf
GK,Current Affairs,Find Current Affairs,Which Sport Award was recently renamed after Major Dhyan Chand ?,Arjuna Award,Rajiv Gandhi Khel Ratna Award,Tenzing Norgay National Adventure Award,None of these,Rajiv Gandhi Khel Ratna Award,6.pdf
GK,Current Affairs,Find Current Affairs,Who has been appointed as the New Prime Minister of Sri Lanka in May 2022?,G. L. Peiris,Mahinda Rajapaksha,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,6.pdf
GK,Current Affairs,Find Current Affairs,Which country won the Thomas Cup 2022?,India,China,South Korea,Japan,India,6.pdf
GK,Economy,Find Economy,"In Indian banking, what is the full form of OTP?",One Time Pincode,One Time Payment,One Time Process,One Time Password,One Time Password,6.pdf
GK,Economy,Find Economy,Who among the following regulates the Capital Market in India?,IRDA,SEBI,RBI,NSEI,SEBI,6.pdf
GK,Economy,Find Economy,NABARD was set up in the year,1970,1981,1982,1991,1982,6.pdf
GK,History,Find History,Civil Disobedience Movement was started in 1930 along with which of the following?,Rowlatt Satyagraha,Dandi March,Champaran Movement,Khilafat Movement,Dandi March,6.pdf
GK,Science,Find Science,Who is regarded as the Father of the Indian Nuclear Program ?,Dr. Homi Bhabha,A.P.J. Abdul Kalam,Satish Dhawan,C.V. Raman,Dr. Homi Bhabha,6.pdf
GK,Economy,Find Economy,SENSEX is the index of,Bombay Stock Exchange,National Stock Exchange,Cochin Stock Exchange,Ahmedabad Stock Exchange,Bombay Stock Exchange,6.pdf
GK,Sports,Find Sports,Recurve is related with which of the following sport?,Archery,Javelin Throw,Hockey,Discus Throw,Archery,6.pdf
GK,Geography,Find Geography,Kharif Crop season in India is,January to March,April to June,July to October,December to March,July to October,6.pdf
GK,Current Affairs,Find Current Affairs,Cyclone Asani was recently seen in news. The name Asani is given by which country?,Bhutan,Nepal,Sri Lanka,Pakistan,Sri Lanka,6.pdf
GK,Geography,Find Geography,Which of the following is the largest fresh water lake of India?,Wular lake,Loktak lake,Chilka lake,Kolleru lake,Wular lake,6.pdf
GK,Current Affairs,Find Current Affairs,Which country is set to become the first country to adopt India UPI system ?,Sri Lanka,Nepal,Pakistan,Bangladesh,Nepal,6.pdf
GK,History,Find History,Who set up the first Iron and Steel works in India in 1912?,R. J. TATA,R. D. TATA,D. J. TATA,J. N. TATA,J. N. TATA,6.pdf
GK,Geography,Find Geography,Which one of the following is the World's Largest River island in India?,Nonglum island,Majuli island,Divar island,Quibble island,Majuli island,6.pdf
GK,Current Affairs,Find Current Affairs,Who has became the first Indian male shuttler to win the silver medal at World Badminton Championship 2021?,Parupalli Kashyap,Kidambi Srikanth,P. Gopichand,Lakshya Sen,Kidambi Srikanth,6.pdf
GK,Current Affairs,Find Current Affairs,Which of the following two nations will host the FIFA Women's World Cup 2023 ?,Norway & Sweden,Australia & New Zealand,The U.S. & Canada,South Korea & Japan,Australia & New Zealand,6.pdf
GK,Indian Polity,Find Indian Polity,Which one of the Fundamental Right is not enshrined in the Constitution of India?,Right to Equality,Right to Property,Right to Freedom,Right Against Exploitation,Right to Property,6.pdf
GK,History,Find History,Who among the following wrote Akbar Nama ?,Amir Khushro,Akbar,Abul Fazl,Birbal,Abul Fazl,6.pdf
GK,Indian Polity,Find Indian Polity,G.S.T. was introduced as per the ___ amendment of Constitution of India.,100,101,102,103,101,6.pdf
GK,Science,Find Science,Which of the following material has the highest density ?,Coke,Graphite,Charcoal,Diamond,Diamond,6.pdf
GK,Science,Find Science,The study of fossil is known as,Osteology,Histology,Mycology,Paleontology,Paleontology,6.pdf
GK,Science,Find Science,The blood vessels that carry blood from the heart to the various parts of the body are called,Arteries,Veins,Septum,Capillaries,Arteries,6.pdf
GK,History,Find History,Who gave the slogan 'Jai Jawan Jai Kisan' ?,Atal Bihari Vajpayee,Chowdhary Charan Singh,Narendra Damodar Modi,Lal Bahadur Shastri,Lal Bahadur Shastri,6.pdf
GK,Science,Find Science,India's first Human Space Mission 'Gaganyaan' will be launched in which year?,2022,2023,2024,2025,2024,6.pdf
GK,Current Affairs,Find Current Affairs,Who won best sticker of the year award at Ballon d'or award 2021?,Lionel Messi,Luka Modric,Cristiano Ronaldo,Robert Lewandowski,Robert Lewandowski,6.pdf
GK,Meghalaya GK,Find Meghalaya GK,Who was the first person to receive Padma Shree from Meghalaya ?,Silverine Swer,Bertha Gyndykes Dkhar,Patricia Mukhim,Manas Chowdhary,Silverine Swer,6.pdf
GK,History,Find History,P. A. Sangma was elected as the Speaker of the Lok Sabha in the year?,1990,1992,1994,1996,1996,6.pdf
GK,Meghalaya GK,Find Meghalaya GK,The Anglo-Khasi War was started in the year ?,1828,1829,1830,1831,1829,6.pdf
GK,Current Affairs,Find Current Affairs,Who was re-elected unopposed as the President of the Badminton Association of India (BAI) for a second term of four year in March 2022?,Himanta Biswa Sarma,Keshav Mahanta,Sarbananda Sonowal,Riniki Bhuyan Sarma,Himanta Biswa Sarma,6.pdf
GK,Current Affairs,Find Current Affairs,Which Album has won the Album of the Year Grammy Award 2022?,We are,My love,Help yourself,This time tomorrow,We are,6.pdf
GK,History,Find History,Whom did Mahatma Gandhi consider his mentor in politics?,Gopal Krishna Gokhale,Lala Lajpat Rai,Bal Gangadhar Tilak,Rajendra Prasad,Gopal Krishna Gokhale,6.pdf
GK,Environment,Find Environment,"'Chipoko Movement' is the world's most known eco development programme, started by S.L. Bahuguna in 1973. It is related with",Conservation of Forest,Planting of Trees,Afforestation,Population,Conservation of Forest,6.pdf
GK,Science,Find Science,Bhopal Gas Tragedy occured due to the release of,CFC,$NO_{2}$,Methyl Isocyanate,Carbon monoxide,Methyl Isocyanate,6.pdf
GK,Science,Find Science,Yellowing of Taj Mahal marble is due to,Acid rain,Ozone,Global warming,Release of carbon monoxide,Acid rain,6.pdf
GK,Environment,Find Environment,The serious environmental threat of greenhouse effect is,Population increase,Drying of rivers,Temperature rise,Increase of sulphur dioxide in atmosphere,Temperature rise,6.pdf
GK,History,Find History,When was the Family Planning Programme started in India?,1952,1962,1950,1949,1952,6.pdf
GK,Environment,Find Environment,Red Data Book refers to,Endangered Species,Threatened Species,National Parks,Sanctuaries,Threatened Species,6.pdf
GK,Environment,Find Environment,The word 'Biodiversity' was coined by,Thomen Lovejoy,E.O. Wilson,Terborgh,W. G. Rosen,W. G. Rosen,6.pdf
GK,Science,Find Science,Another name of AIDS is,Slim disease,Kala Azar,Hay fever,Immune weak,Slim disease,6.pdf
GK,General,Standard MCQ,What is the full form of ICAR?,Indian Committee of Agricultural Research,Indian Council of Agricultural Research,Indian Cooperation of Aeroneutical Research,Indian Council of Automic Research,Indian Council of Agricultural Research,6.pdf
GK,Current Affairs,Find Current Affairs,Which Indian State became the first State to go paperless assembly proceeding under National e-Vidhan Application ?,Delhi,Assam,Nagaland,Sikkim,Nagaland,6.pdf
GK,Current Affairs,Find Current Affairs,"In which State, the Indian Army set to establish the 'Red Shield Centre for Excellence and Wellness', a coaching centre to provide residential coaching to students for competitive examination?",Manipur,Mizoram,Meghalaya,Assam,Manipur,6.pdf
GK,Current Affairs,Find Current Affairs,"Which airway recently (in May 2022) got the Directorate General of Civil Aviation (DGCA) nod to resume commercial flight operation after being grounded since 2019?",Jet Airways,Vistara,Indigo,Go First,Jet Airways,6.pdf
