Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Error Detection,Find Error,"Sheela told her teacher to explain the chapter once again.","ordered her teacher","said to her teacher","asked her teacher","No error","asked her teacher",1.pdf
English,Error Detection,Find Error,"I have wrote a letter to her.",write,written,will write,No error,written,1.pdf
English,Error Detection,Find Error,"She has been plucks flowers since morning.",pluck,pick,plucking,No error,plucking,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Professionals ___ as doctors and lawyers are part of the programme.",such,like,are,and,such,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The bus stand is directly ___ the police station.",around,in,behind,nearby,behind,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The dogs ___ the field are chasing one another playfully.",in,upon,on,at,in,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"In accordance ___ the regulations, one must apply for the scheme.",to,with,from,by,with,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The house in ___ I was born has a beautiful garden surrounding it.",where,when,whom,which,which,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"She is suffering ___ fever.",in,with,from,by,from,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Who is responsible ___ this mistake?",of,for,from,with,for,1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The man exclaimed that his wallet was stolen.","""My wallet was stolen !"" the man said.","""Somebody stole my wallet !"" exclaimed the man.","The man exclaimed, ""My wallet was stolen !""","The man cried, ""My wallet was stolen.""","""My wallet was stolen !"" the man said.",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"Rima said to Priya, ""Why are you sketching on the wall?""","Rima asked Priya why was she sketching on the wall.","Rima asked Priya why had she been sketching on the wall.","Rima asked Priya that why is she sketching on the wall.","Rima asked Priya why she was sketching on the wall.","Rima asked Priya why she was sketching on the wall.",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"""Stand at ease"", the soldier said to his men.","The soldier told his men that they should stand at ease.","The soldier said to his men that they should stand at ease.","The soldier urged his men to stand at ease.","The soldier commanded his men to stand at ease.","The soldier commanded his men to stand at ease.",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"Mr. Swer asked the lady if she could tell him where the nearest post office is.","""Where is the nearest post office?"" Mr. Swer asked the lady.","Mr. Swer asked the lady, ""Could you tell me where the nearest post office is?""","Mr. Swer asked the lady, ""Where is the nearest post office?""","Mr. Swer said to the lady, ""Where is the nearest post office?""","Mr. Swer asked the lady, ""Could you tell me where the nearest post office is?""",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The Professor said that nobody could solve the problem.","The Professor said, ""Nobody can solve the problem.""","The Professor said, ""Nobody could solve the problem.""","The Professor exclaimed, ""Nobody could solve the problem.""","The Professor exclaimed, ""Nobody can solve the problem.""","The Professor said, ""Nobody can solve the problem.""",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"Seeta said to me, ""Can you give me your pen?""","Seeta asked me can I give her my pen.","Seeta asked me if I can give me your pen.","Seeta asked me if I could give her my pen.","Seeta asked me if I could give me your pen.","Seeta asked me if I could give her my pen.",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"The father warned his son that he should beware of the pickpocket.","The father warned his son, ""Beware of the pickpocket !""","The father warned his son, ""Watch that chap!""","The father warned his son, ""Be careful about the pickpocket.""","The father warned his son, ""Don't fall into the trap.""","The father warned his son, ""Beware of the pickpocket !""",1.pdf
English,Direct/Indirect Speech,Find Direct/Indirect Speech,"""What about going for a swim?"" he said, ""It's quite fine now.""","He asked me about going for a swim as it was quite fine then.","He proposed going for a swim as it was quite fine.","He suggested going for a swim as it was quite fine.","He advised me to go for a swim as it was quite fine.","He suggested going for a swim as it was quite fine.",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) children / (ii) the / (iii) were / (iv) the animals / (v) fascinated by","(ii), (i), (iii), (v), (iv)","(iii), (ii), (i), (v), (iv)","(v), (iv), (iii), (ii), (i)","(iv), (iii), (ii), (i), (v)","(ii), (i), (iii), (v), (iv)",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) plays an / (ii) upbringing / (iii) important / (iv) personal progress / (v) role in","(v), (ii), (i), (iii), (iv)","(ii), (iv), (i), (iii), (v)","(iv), (i), (iii), (v), (ii)","(ii), (i), (iii), (v), (iv)","(ii), (i), (iii), (v), (iv)",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) an / (ii) him popular / (iii) made / (iv) unexpected / (v) victory","(i), (iv), (v), (iii), (ii)","(iv), (iii), (ii), (i), (v)","(iii), (ii), (i), (iv), (v)","(i), (iv), (iii), (v), (ii)","(i), (iv), (v), (iii), (ii)",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) the coastline / (ii) the rugged / (iii) they / (iv) beauty of / (v) admired","(i), (iii), (v), (ii), (iv)","(iii), (v), (ii), (iv), (i)","(iii), (i), (v), (ii), (iv)","(ii), (v), (i), (iv), (iii)","(iii), (v), (ii), (iv), (i)",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) free time / (ii) with / (iii) little / (iv) left her / (v) her job","(i), (iv), (v), (ii), (iii)","(iv), (i), (ii), (iii), (v)","(v), (iv), (ii), (iii), (i)","(iv), (i), (iii), (ii), (v)","(v), (iv), (ii), (iii), (i)",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) the road / (ii) the rules / (iii) obey / (iv) we must / (v) of","(iii), (ii), (v), (i), (iv)","(iv), (iii), (ii), (v), (i)","(iv), (ii), (iii), (i), (v)","(iv), (iii), (v), (ii), (i)","(iv), (iii), (ii), (v), (i)",1.pdf
English,Jumbled Sentences,Find Jumbled Sentences,"(i) from God / (ii) a precious / (iii) gift to / (iv) us / (v) life is","(ii), (iii), (iv), (i), (v)","(v), (i), (ii), (iii), (iv)","(v), (iii), (iv), (ii), (i)","(v), (ii), (iii), (iv), (i)","(v), (ii), (iii), (iv), (i)",1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The library, if used properly, is invaluable in helping you develop discernment. It is rich ___ information",of,for,in,with,in,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"that goes far beyond the ___ of any one textbook or course.",pages,limits,confines,limitations,confines,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"___ your textbook author does not make a particular",If,While,When,Suppose,If,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"___ clear",information,entry,explanation,point,point,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"and you feel the need ___ another description in greater detail",for,of,to,about,for,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"___ in other words,",or,but,though,however,or,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"go to the library and ___ other books on the subject.",verify,identify,check,collect,check,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"By calling ___ two or three writers",for,up,forth,upon,upon,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"dealing with the ___ topic,",actual,specific,correct,same,same,1.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"you will find some ___ of certain facts.",description,clarification,explanation,evidence,clarification,1.pdf
GK,History,Find History,Which State merged with India in 1975?,Mizoram,Goa,Sikkim,Arunachal Pradesh,Sikkim,1.pdf
GK,Indian Polity,Find Indian Polity,The Fundamental Right which cannot be suspended even during an emergency is,Right to Equality,Right to Freedom of Expression,Right to Movement,Right to Life,Right to Life,1.pdf
GK,Indian Polity,Find Indian Polity,Indian States have been constituted on the basis of,geographical continuity,language,administrative convenience,economic condition,language,1.pdf
GK,History,Find History,The forces of Alexander and Porus fought on the banks of river,Ravi,Jhelum,Sutlej,Indus,Jhelum,1.pdf
GK,History,Find History,The Banaras Hindu University was founded by,C. R. Das,Pt. J. L. Nehru,Madan Mohan Malaviya,Swami Vivekananda,Madan Mohan Malaviya,1.pdf
GK,Science,Find Science,Gunpowder was discovered by the,Egyptians,Indians,Chinese,Germans,Chinese,1.pdf
GK,History,Find History,"Confrontation between USA and USSR over the development of missiles in 1962 almost led to a nuclear war in",Poland,North Korea,East Germany,Cuba,Cuba,1.pdf
GK,General,Standard MCQ,The largest contribution to the UN budget comes from,Japan,Germany,USA,Britain,USA,1.pdf
GK,General,Standard MCQ,OPEC was set up in,1962,1970,1973,1960,1960,1.pdf
GK,General,Standard MCQ,"'1984' was written by",George Orwell,Boris Pasternak,G. B. Shaw,Bertrand Russell,George Orwell,1.pdf
GK,General,Standard MCQ,In which Indian State is the Flamingo Festival celebrated?,Manipur,Assam,Andhra Pradesh,Rajasthan,Andhra Pradesh,1.pdf
GK,Geography,Find Geography,The crops grown in the summer monsoon season are called,Rabi,Kharif,annual,seasonal,Kharif,1.pdf
GK,Science,Find Science,Sound travels fastest in,air,water,vacuum,iron,iron,1.pdf
GK,Geography,Find Geography,India's range of geostationary satellite is,IRS,INSAT,Rohini,Bhaskara,INSAT,1.pdf
GK,Science,Find Science,The metal that floats on water is,iron,copper,silver,potassium,potassium,1.pdf
GK,Geography,Find Geography,Rome is the,Eternal City,Forbidden City,City of Palaces,Cleanest City,Eternal City,1.pdf
GK,Geography,Find Geography,Moscow is situated on the bank of river,Moskva,Spree,Volga,Tagus,Moskva,1.pdf
GK,Geography,Find Geography,Name the largest island in the world.,New Guinea,Greenland,Madagascar,Great Britain,Greenland,1.pdf
GK,Geography,Find Geography,"In the world, which of the following occupies the smallest area?",Bermuda,Peru,Monaco,Vatican City,Vatican City,1.pdf
GK,Geography,Find Geography,Copper mines are found in which of the following places?,Khetri,Karanpur,Ramgiri,Palamu,Khetri,1.pdf
GK,Geography,Find Geography,"When days and nights are equal, the rays of the sun directly fall on the",Tropic of Cancer,South Pole,North Pole,Equator,Equator,1.pdf
GK,Science,Find Science,Which of the following substances is mainly used in hand sanitizer?,Fatty acid,Petroleum jelly,Alcohol,Saline water,Alcohol,1.pdf
GK,Science,Find Science,Name the part of the eye where an image of an object is formed.,Retina,Cornea,Lens,Pupil,Retina,1.pdf
GK,General,Standard MCQ,Keenan Stadium is in,Jamshedpur,Cuttack,Kanpur,Faridabad,Jamshedpur,1.pdf
GK,General,Standard MCQ,'Butterfly' is a term used in the game of,high jump,squash,boxing,swimming,swimming,1.pdf
GK,General,Standard MCQ,The number of holes in a golf course is,8,12,15,18,18,1.pdf
GK,General,Standard MCQ,The name of Abhinav Bindra is associated with the sport of,rifle shooting,cricket,football,basketball,rifle shooting,1.pdf
GK,General,Standard MCQ,Subroto Cup is associated with which of the following games?,Hockey,Football,Basketball,Cricket,Football,1.pdf
GK,History,Find History,The first to have trade relations with India was,English,Dutch,French,Portuguese,Portuguese,1.pdf
GK,Science,Find Science,Goitre is caused by the malfunctioning of,liver,brain,spleen,thyroid,thyroid,1.pdf
GK,History,Find History,The oldest large-scale industry of India was in the field of,iron and steel,jute,cotton and textile,sugar,cotton and textile,1.pdf
GK,Current Affairs,Find Current Affairs,Name the Booker Prize winner of 2024.,Anna Burns,Margaret Atwood,Douglas Stuart,Samantha Harvey,Samantha Harvey,1.pdf
GK,Current Affairs,Find Current Affairs,"Which country topped the Human Development Index, 2023-2024?",Singapore,Australia,Switzerland,Ireland,Switzerland,1.pdf
GK,Geography,Find Geography,Name the longest rail route in the world.,Canadian Pacific,Trans-Siberian,Cairo-Cape Town,Orient-Express,Trans-Siberian,1.pdf
GK,Geography,Find Geography,Which district is a part of two Indian States?,Kodagu,Panipath,Chitrakoot,Vadodara,Chitrakoot,1.pdf
GK,Current Affairs,Find Current Affairs,"Covishield, the first vaccine for COVID-19, is manufactured by which company?",Biocon,Serum Institute of India,Dr. Reddy's Lab,Pfizer,Serum Institute of India,1.pdf
GK,Geography,Find Geography,Where is the UNICEF Headquarters located?,Geneva,France,New York,Denmark,New York,1.pdf
GK,Geography,Find Geography,"Established in 1936, which is India's first National Park?",Indravati National Park,Jim Corbett National Park,Gir National Park,Kaziranga National Park,Jim Corbett National Park,1.pdf
GK,Science,Find Science,The longest insect in the world is,grasshopper,deer fly,giant stick insect,caddisfly,giant stick insect,1.pdf
GK,Geography,Find Geography,Which amongst the following is the largest glacier?,Zemu,Siachen,Gangotri,Sasaini,Siachen,1.pdf
GK,Geography,Find Geography,Tamil Nadu is famous for which dance form?,Kathak,Bharatanatyam,Kuchipudi,None of the above,Bharatanatyam,1.pdf
GK,History,Find History,Which character of the Mahabharata is also called 'Dharmaraja'?,Arjuna,Nakula,Yudhishthira,Duryodhana,Yudhishthira,1.pdf
GK,General,Standard MCQ,To which musical instrument is Hariprasad Chaurasia associated?,Sitar,Flute,Tabla,Veena,Flute,1.pdf
GK,Indian Polity,Find Indian Polity,"The maximum number of Ministers in the Union Government, including the Prime Minister, is",10% of the members of the Lok Sabha,15% of the members of the Lok Sabha,20% of the members of the Lok Sabha,12% of the members of the Lok Sabha,15% of the members of the Lok Sabha,1.pdf
GK,History,Find History,In which year was the Bombay High Court established?,1842,1862,1872,1901,1862,1.pdf
GK,General,Standard MCQ,Name the father of geometry.,Kepler,Herodotus,Hippocrates,Euclid,Euclid,1.pdf
GK,Geography,Find Geography,How many islands are there in the Lakshadweep Islands?,29,36,43,51,36,1.pdf
GK,Geography,Find Geography,Name the State which occupies more than 10 percent of India's land area.,Uttar Pradesh,Rajasthan,Madhya Pradesh,Maharashtra,Rajasthan,1.pdf
GK,History,Find History,Name the first President of India.,Pt. J. L. Nehru,Sarvepalli Radhakrishnan,Rajendra Prasad,Sardar Vallabhbhai Patel,Rajendra Prasad,1.pdf
GK,General,Standard MCQ,The Pradhan Mantri Ujjwala Yojana is related to,skill imparting,financial inclusion,LPG connection,electricity connection,LPG connection,1.pdf
