Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,Computer,Standard MCQ,"Motion effects applied to individual elements on a slide are called?",Transitions,Animations,Slide Designs,Themes,Animations,Generated
GK,Computer,Standard MCQ,"Effects applied when moving from one slide to another are called?",Transitions,Animations,Slide Designs,Themes,Transitions,Generated
GK,Computer,Standard MCQ,"Which view displays all slides as thumbnails?",Normal View,Slide Show View,Slide Sorter View,Notes Page View,Slide Sorter View,Generated
GK,Computer,Standard MCQ,"What is the shortcut to open an existing presentation?",Ctrl+N,Ctrl+O,Ctrl+E,Ctrl+P,Ctrl+O,Generated
GK,Computer,Standard MCQ,"Which shortcut key is used to duplicate the current slide?",Ctrl+C,Ctrl+D,Ctrl+X,Ctrl+V,Ctrl+D,Generated
GK,Computer,Standard MCQ,"Internet is a?",LAN,MAN,WAN,PAN,WAN,Generated
GK,Computer,Standard MCQ,"WWW stands for?",World Wide Web,World Web Wide,Wide World Web,Web World Wide,World Wide Web,Generated
GK,Computer,Standard MCQ,"HTTP stands for?",Hypertext Transfer Protocol,Hyper Transfer Text Protocol,Hypertext Transmission Protocol,Hyper Transmission Text Protocol,Hypertext Transfer Protocol,Generated
GK,Computer,Standard MCQ,"URL stands for?",Universal Resource Locator,Uniform Resource Locator,Universal Resource Link,Uniform Resource Link,Uniform Resource Locator,Generated
GK,Computer,Standard MCQ,"IP stands for?",Internet Provider,Internet Protocol,Internal Protocol,Internal Provider,Internet Protocol,Generated
GK,Computer,Standard MCQ,"Which of the following is a web browser?",Google,Yahoo,Bing,Google Chrome,Google Chrome,Generated
GK,Computer,Standard MCQ,"Which of the following is a search engine?",Mozilla Firefox,Google Chrome,Google,Safari,Google,Generated
GK,Computer,Standard MCQ,"HTML stands for?",Hypertext Markup Language,Hypertext Machine Language,Hypertext Main Language,Hypertext Modern Language,Hypertext Markup Language,Generated
GK,Computer,Standard MCQ,"ISP stands for?",Internet Service Provider,Internal Service Provider,Internet System Provider,Internal System Provider,Internet Service Provider,Generated
GK,Computer,Standard MCQ,"Moving from one website to another is called?",Browsing,Surfing,Navigating,All of the above,All of the above,Generated
GK,Computer,Standard MCQ,"In an email, BCC stands for?",Blind Carbon Copy,Blank Carbon Copy,Blind Copy Carbon,Blank Copy Carbon,Blind Carbon Copy,Generated
GK,Computer,Standard MCQ,"Spam is also known as?",Important email,Junk email,Draft email,Starred email,Junk email,Generated
GK,Computer,Standard MCQ,"A network that covers a small geographic area is?",LAN,MAN,WAN,PAN,LAN,Generated
GK,Computer,Standard MCQ,"The unique address of a device on a network is called?",MAC address,IP address,URL,Domain,IP address,Generated
GK,Computer,Standard MCQ,"Wi-Fi stands for?",Wireless Fidelity,Wireless Fiber,Wired Fidelity,Wired Fiber,Wireless Fidelity,Generated
GK,Computer,Standard MCQ,"The physical layout of a network is called its?",Protocol,Topology,Routing,Architecture,Topology,Generated
GK,Computer,Standard MCQ,"A device that connects two different networks?",Hub,Switch,Router,Modem,Router,Generated
GK,Computer,Standard MCQ,"Software that prevents unauthorized access to a network?",Antivirus,Firewall,Malware,Spyware,Firewall,Generated
GK,Computer,Standard MCQ,"A malicious program that replicates itself?",Worm,Trojan,Spyware,Adware,Worm,Generated
GK,Computer,Standard MCQ,"Phishing is a type of?",Software,Hardware,Cybercrime,Network,Cybercrime,Generated
GK,Computer,Standard MCQ,"PDF stands for?",Portable Document Format,Portable Data Format,Printed Document Format,Printed Data Format,Portable Document Format,Generated
GK,Computer,Standard MCQ,"JPEG stands for?",Joint Photographic Experts Group,Joint Picture Experts Group,Joint Photo Experts Group,Joint Pixel Experts Group,Joint Photographic Experts Group,Generated
GK,Computer,Standard MCQ,"ASCII stands for?",American Standard Code for Information Interchange,American Standard Code for Internet Interchange,Asian Standard Code for Information Interchange,Asian Standard Code for Internet Interchange,American Standard Code for Information Interchange,Generated
GK,Computer,Standard MCQ,"DBMS stands for?",Database Management System,Data Management System,Database Maintenance System,Data Maintenance System,Database Management System,Generated
GK,Computer,Standard MCQ,"SQL stands for?",Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,Structured Query Language,Generated
GK,Computer,Standard MCQ,"The first computer virus was known as?",Creeper,Slammer,Blaster,ILOVEYOU,Creeper,Generated
GK,Computer,Standard MCQ,"To reload a web page, which key is pressed?",F2,F3,F4,F5,F5,Generated
GK,Computer,Standard MCQ,"What is the shortcut for opening the Run dialog box in Windows?",Windows Key + R,Windows Key + E,Windows Key + D,Windows Key + M,Windows Key + R,Generated
GK,Computer,Standard MCQ,"MAC address stands for?",Media Access Control,Main Access Control,Memory Access Control,Machine Access Control,Media Access Control,Generated
GK,Computer,Standard MCQ,"What does VPN stand for?",Virtual Private Network,Virtual Public Network,Visual Private Network,Visual Public Network,Virtual Private Network,Generated
