Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Fill in the Blanks,Find Fill in the Blanks,"The bus stand is directly ___ the police station.","around","in","behind","nearby","behind",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The dogs ___ the field are chasing one another playfully.","in","upon","on","at","in",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"In accordance ___ the regulations, one must apply for the scheme.","to","with","from","by","with",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The house in ___ I was born has a beautiful garden surrounding it.","where","when","whom","which","which",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The speaker's ___ remarks left the audience in awe; his words were both profound and enlightening.","mundane","pithy","banal","insipid","pithy",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The novel's plot was so ___ that readers were hooked from the first page, unable to predict the twists in the plot.","poetical","engrossing","formulaic","prosaic","engrossing",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"While her sister was ___ and thrifty, Maria was notoriously extravagant, spending money without a second thought.","frugal","lavish","prodigal","indulgent","frugal",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The government will ___ the new policy next week, aiming to improve transparency across departments.","adopt","adapt","adept","admit","adopt",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The officer's ___ response to the confrontational question demonstrated her skill in handling complex and sensitive situations.","temper","temporal","tempered","temperamental","tempered",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Her remarks were intended to be pacifying, but they were interpreted as ___ by the opposition.","provocative","respectful","indifferent","supportive","provocative",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Unlike the ___ forest they had left behind, the desert landscape was desiccated and bereft of life.","arid","verdant","desolate","magnanimous","verdant",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"She ___ her mother's stubbornness, always refusing to back down once she's made up her mind.","takes after","goes after","is after","comes after","takes after",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The research team had to ___ their procedure after Superintendent pointed out several errors in their experimental design.","revise","repeat","reject","recreate","revise",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The negotiations reached a complete ___ with neither side willing to compromise on their fundamental demands.","détente","accord","impasse","au revoir","impasse",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The prisoner was released on ___ for good behaviour.","probation","bail","parole","guarantee","parole",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Life is to death as pleasure is to ___","suffering","bliss","poverty","ecstasy","suffering",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Please do not ___ an offer made by the Chairman.","refrain","refute","refuse","refuge","refuse",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"The police ___ the mob.","converged","cohered","composed","dispersed","dispersed",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Robert was ___ with a natural talent for music.","given","found","endowed","entrusted","endowed",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"If you drink too much, it will ___ your judgement.","impede","impair","impose","impel","impair",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"It is very ___ to miss one's train by half a minute.","annoying","exhausting","exciting","exasperating","exasperating",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Did you use a dictionary ___ the letter?","for translating","translating","to translate","for translate","to translate",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Your case is so unique that I am not getting any ___ to support it.","reason","help","event","precedent","precedent",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"We thought that the Sadhu had miraculous powers but we soon found out that we were ___","wronged","captivated","enlightened","deceived","deceived",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"A temporary departure from the main subject in speech or writing is known as","degression","digreesion","diggresion","digression","digression",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Something deserving of praise or admiration is called","laudible","laudable","laudeble","lauduble","laudable",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"___ means unselfish concern for the welfare of others.","anorexic","autistic","altruism","autism","altruism",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Maria always wears ___ clothes.","descent","descend","decent","dissent","decent",2.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"We should always be ___ of what is going on around the world.","conscientious","conscious","conscience","consensus","conscious",2.pdf
GK,Science,Find Science,"The earth satellite Aryabhata was put in orbit by India on","October 20, 1978","November 14, 1978","January 26, 1979","April 19, 1975","April 19, 1975",2.pdf
GK,Science,Find Science,"Specific gravity is defined as the ratio of the density of","a substance to the density of hydrogen","a substance to the density of water","water to the density of a substance","mercury to the density of a substance","a substance to the density of water",2.pdf
GK,Science,Find Science,"A balloon filled with hydrogen will","continue going uninterrupted upwards","reach a particular height and keep floating","burst after reaching some height","start going downwards","burst after reaching some height",2.pdf
GK,Science,Find Science,"Two glass plates with little water in between cannot be separated easily because of","external pressure","viscosity","surface tension","None of the above","surface tension",2.pdf
GK,Science,Find Science,"The aneroid barometer uses","mercury","distilled water","alcohol","Does not use any liquid","Does not use any liquid",2.pdf
GK,History,Find History,"Bimbisara was succeeded by","Ashoka","Ajatashatru","Vasudeva","Chandragupta Maurya","Ajatashatru",2.pdf
GK,History,Find History,"The Chedi dynasty ruled in","Bengal","Kalinga","Maharashtra","Rajasthan","Kalinga",2.pdf
GK,History,Find History,"'India for the Indians' was the political message of","D. E. Wacha","Swami Vivekananda","Dayanand Saraswati","A. O. Hume","Dayanand Saraswati",2.pdf
GK,History,Find History,"The Berlin Wall fell in which year?","1987","1990","1989","1988","1989",2.pdf
GK,History,Find History,"The Mughal emperor, who built the Peacock Throne, was","Shah Jahan","Babur","Aurangzeb","Jahangir","Shah Jahan",2.pdf
GK,Geography,Find Geography,"An area of low precipitation on the leeward side of hills/mountain ranges is called","contiguous zone","doldrum zone","rain shadow zone","Roaring Forties zone","rain shadow zone",2.pdf
GK,Geography,Find Geography,"The percentages of the areas of oceans and continents on the earth are respectively.","60 and 40","71 and 29","50 and 50","65 and 35","71 and 29",2.pdf
GK,Science,Find Science,"Spot the odd item amongst the following.","Iron","Brass","Copper","Aluminium","Brass",2.pdf
GK,Geography,Find Geography,"Lines connecting the points of equal salinity are called","isoseismals","isogons","isohalines","isohyets","isohalines",2.pdf
GK,Geography,Find Geography,"The Benguela Current passes along the","east coast of North America","west coast of South America","southwest coast of Africa","east coast of Japan","southwest coast of Africa",2.pdf
GK,Geography,Find Geography,"The Great Barrier Reef is located in which ocean?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean",2.pdf
GK,Indian Polity,Find Indian Polity,"The authority empowered to fix the salary and allowances of the Speaker is the","President","Union Cabinet","Vice President","Parliament","Parliament",2.pdf
GK,Indian Polity,Find Indian Polity,"In which year was the first no-confidence motion moved in the Lok Sabha?","1960","1962","1963","1973","1963",2.pdf
GK,Indian Polity,Find Indian Polity,"The National Integration Council is chaired by the","President of India","Vice President of India","Chief Justice of India","Prime Minister of India","Prime Minister of India",2.pdf
GK,Indian Polity,Find Indian Polity,"The separation of the Judiciary from the Executive is envisaged in the","Preamble","Directive Principles of State Policy","Objective Resolution","Fundamental Rights","Directive Principles of State Policy",2.pdf
GK,Indian Polity,Find Indian Polity,"The total number of members in the Legislative Council of a State shall in no case be less than","thirty","fifty","sixty","forty","forty",2.pdf
GK,Indian Polity,Find Indian Polity,"The Rajya Sabha is dissolved","during an Emergency","in every five years","under no circumstances","at the direction of the President","under no circumstances",2.pdf
GK,Economy,Find Economy,"The Phillips curve shows the relationship between","GDP and unemployment","GDP and inflation","inflation and unemployment","inflation and interest rate","inflation and unemployment",2.pdf
GK,Geography,Find Geography,"The headquarters of the Uranium Corporation of India is in","Gandhinagar","Mumbai","Jaduguda","Ranchi","Jaduguda",2.pdf
GK,History,Find History,"Bombay Samachar, a/an ___ daily, published from Mumbai, is the oldest extant newspaper in India.","Hindi","Marathi","Gujarati","English","Gujarati",2.pdf
GK,Geography,Find Geography,"Which pass connects Sikkim with Tibet?","Jelep La","Zoji La","Nathu La","Rohtang Pass","Nathu La",2.pdf
GK,History,Find History,"M. S. Subbulakshmi is India's 'Aathva Sur (the eighth note)'-A tribute by","Yehudi Menuhin","Kishori Amonkar","Pandit Ratanjankar","Lata Mangeshkar","Kishori Amonkar",2.pdf
GK,History,Find History,"The Golden Temple is located in which city?","Patiala","Ludhiana","Chandigarh","Amritsar","Amritsar",2.pdf
GK,History,Find History,"The Ajanta Caves are located in which State?","Madhya Pradesh","Karnataka","Odisha","Maharashtra","Maharashtra",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"Who is the first Chief Minister of Meghalaya?","D. D. Pugh","B. B. Lyngdoh","Capt. W. A. Sangma","S. C. Marak","Capt. W. A. Sangma",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"The Meghalaya High Court was established in the year","2011","2012","2013","2014","2013",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"When was STEM Education Hub and Soil Organic Carbon Detection Lab inaugurated in Shillong?","31st January, 2025","21st April, 2021","22nd June, 2024","23rd January, 2025","23rd January, 2025",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"Total how many medals East Khasi Hills district won in the 6th Meghalaya Games, 2025?","381 medals","350 medals","250 medals","351 medals","350 medals",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"When did Meghalaya launch its first State-owned university, Captain Williamson Sangma State University?","13th January, 2025","13th January, 2024","13th January, 2023","13th January, 2021","13th January, 2023",2.pdf
GK,Current Affairs,Find Current Affairs,"The new Chief Justice of India who had been recently appointed on 14th May, 2025 is","Bhushan Ramkrishna Gavai","S. Khanna","D. Y. Chandrachud","U. Umesh Lalit","Bhushan Ramkrishna Gavai",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"Who is the Chief Justice of Meghalaya as of August 2025?","I. P. Mukerji","H. S. Thangkhiew","S. Vaidyanathan","S. Banerjee","I. P. Mukerji",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"What is the State animal of Meghalaya?","Clouded Leopard","Red Panda","Indian Elephant","One-horned Rhinoceros","Clouded Leopard",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"Which is the longest cave in Meghalaya?","Mawsmai cave","Siju cave","Krem Liat Prah","Krem Mawmluh","Krem Liat Prah",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"In which year was North Eastern Space Applications Centre (NESAC) established?","2000","2010","2011","2002","2000",2.pdf
GK,Meghalaya GK,Find Meghalaya GK,"In 2025, which Meghalayan product(s) received GI tag?","Ryndia silk and Khasi handloom","Lakadong turmeric","Garo Dakmanda","Chubitchi","Ryndia silk and Khasi handloom",2.pdf
GK,Science,Find Science,"Which metal is liquid at room temperature apart from mercury?","Cesium","Gallium","Bromine","Sodium","Gallium",2.pdf
GK,Science,Find Science,"Which is the heaviest naturally occurring element on the Earth?","Lead","Thorium","Plutonium","Uranium","Uranium",2.pdf
GK,Science,Find Science,"The concept of vaccination was first developed by","Robert Koch","Alexander Fleming","Louis Pasteur","Edward Jenner","Edward Jenner",2.pdf
GK,Current Affairs,Find Current Affairs,"The 'National Nutrition Mission' is also known as","ICDS","POSHAN Abhiyaan","Mid-Day Meal Scheme","Annapurna Yojana","POSHAN Abhiyaan",2.pdf
GK,Economy,Find Economy,"'MUDRA' loans are primarily given to","large-scale industries","micro and small enterprises","agricultural farmers","exporters","micro and small enterprises",2.pdf
GK,Geography,Find Geography,"The 'City of a Thousand Spires' is a nickname for","Paris","Venice","Prague","Rome","Prague",2.pdf
GK,Economy,Find Economy,"Which organization is known as the 'Bank of Banks'?","IMF","Bank for International Settlements (BIS)","World Bank","Reserve Bank of India","Bank for International Settlements (BIS)",2.pdf
GK,General,Standard MCQ,"Gitanjali, a Nobel Prize winning work, was written by","Mahatma Gandhi","Sarojini Naidu","Bankim Chandra Chatterjee","Rabindranath Tagore","Rabindranath Tagore",2.pdf
GK,General,Standard MCQ,"Pick the odd one out.","Machiavelli","Plato","Aristotle","Socrates","Machiavelli",2.pdf
GK,Geography,Find Geography,"Meghalaya is a part of the biodiversity hotspot named","the Himalayas","the Western Ghats","Sundaland","the Indo-Burma region","the Indo-Burma region",2.pdf
